method,algorithm_seconds,median,lower,upper
FB--GVI,3.5519444443052635,3.092423796147159e-05,3.092423796147159e-05,3.092423796147159e-05
FB--GVI,3.5822629932663403,2.826108080000722e-05,2.826108080000722e-05,2.826108080000722e-05
FB--GVI,3.611258012359031,2.582926269667496e-05,2.582926269667496e-05,2.582926269667496e-05
FB--GVI,3.6406494613038376,2.360848021965012e-05,2.360848021965012e-05,2.360848021965012e-05
FB--GVI,3.669413740281016,2.1580233521945047e-05,2.1580233521945047e-05,2.1580233521945047e-05
FB--GVI,3.697743859316688,1.972766406765913e-05,1.972766406765913e-05,1.972766406765913e-05
FB--GVI,3.728614028368611,1.8035406782246355e-05,1.8035406782246355e-05,1.8035406782246355e-05
FB--GVI,3.762030847312417,1.6489455873625047e-05,1.6489455873625047e-05,1.6489455873625047e-05
FB--GVI,3.794044456328266,1.5077043258315824e-05,1.5077043258315824e-05,1.5077043258315824e-05
FB--GVI,3.826354475400876,1.3786527489401124e-05,1.3786527489401124e-05,1.3786527489401124e-05
FB--GVI,3.855525714403484,1.2607293058408686e-05,1.2607293058408686e-05,1.2607293058408686e-05
FB--GVI,3.88549074344337,1.1529658834774636e-05,1.1529658834774636e-05,1.1529658834774636e-05
FB--GVI,3.915653373405803,1.0544794932343391e-05,1.0544794932343391e-05,1.0544794932343391e-05
FB--GVI,3.962487832352053,9.644646723927508e-06,9.644646723927508e-06,9.644646723927508e-06
FB--GVI,3.991277031309437,8.821866032349135e-06,8.821866032349135e-06,8.821866032349135e-06
FB--GVI,4.027307040349115,8.06974847478159e-06,8.06974847478159e-06,8.06974847478159e-06
FB--GVI,4.0597729694563895,7.382176264059126e-06,7.382176264059126e-06,7.382176264059126e-06
FB--GVI,4.089295138488524,6.753566424322344e-06,6.753566424322344e-06,6.753566424322344e-06
FB--GVI,4.118922977533657,6.178823397817723e-06,6.178823397817723e-06,6.178823397817723e-06
FB--GVI,4.149444026465062,5.6532961423272354e-06,5.6532961423272354e-06,5.6532961423272354e-06
FB--GVI,4.1848042255151086,5.172738809733346e-06,5.172738809733346e-06,5.172738809733346e-06
FB--GVI,4.214274334430229,4.733275090984535e-06,4.733275090984535e-06,4.733275090984535e-06
FB--GVI,4.243648923467845,4.331365857979108e-06,4.331365857979108e-06,4.331365857979108e-06
FB--GVI,4.273047012567986,3.9637791360291885e-06,3.9637791360291885e-06,3.9637791360291885e-06
FB--GVI,4.33013477147324,3.627563700092651e-06,3.627563700092651e-06,3.627563700092651e-06
FB--GVI,4.362154110509437,3.3200241347230985e-06,3.3200241347230985e-06,3.3200241347230985e-06
FB--GVI,4.394279989530332,3.03869830986514e-06,3.03869830986514e-06,3.03869830986514e-06
FB--GVI,4.426775168511085,2.781337428814368e-06,2.781337428814368e-06,2.781337428814368e-06
FB--GVI,4.458467757503968,2.545886943039477e-06,2.545886943039477e-06,2.545886943039477e-06
FB--GVI,4.490486786526162,2.330469882849684e-06,2.330469882849684e-06,2.330469882849684e-06
FB--GVI,4.5240503154927865,2.13337116861112e-06,2.13337116861112e-06,2.13337116861112e-06
FB--GVI,4.55617589445319,1.9530237977960496e-06,1.9530237977960496e-06,1.9530237977960496e-06
FB--GVI,4.589291523443535,1.7879956004662745e-06,1.7879956004662745e-06,1.7879956004662745e-06
FB--GVI,4.622221152530983,1.6369778563785076e-06,1.6369778563785076e-06,1.6369778563785076e-06
FB--GVI,4.656381751468871,1.4987743952588062e-06,1.4987743952588062e-06,1.4987743952588062e-06
FB--GVI,4.690017430402804,1.372291762891109e-06,1.372291762891109e-06,1.372291762891109e-06
FB--GVI,4.723813379416242,1.2565306093392792e-06,1.2565306093392792e-06,1.2565306093392792e-06
FB--GVI,4.756670678441878,1.1505771624342742e-06,1.1505771624342742e-06,1.1505771624342742e-06
FB--GVI,4.789462648448534,1.0535962218227723e-06,1.0535962218227723e-06,1.0535962218227723e-06
FB--GVI,4.82206736743683,9.648239540638317e-07,9.648239540638317e-07,9.648239540638317e-07
FB--GVI,4.854692826396786,8.835621798652937e-07,8.835621798652937e-07,8.835621798652937e-07
FB--GVI,4.887625825416762,8.091722349945485e-07,8.091722349945485e-07,8.091722349945485e-07
FB--GVI,4.922033484559506,7.410702096422028e-07,7.410702096422028e-07,7.410702096422028e-07
FB--GVI,4.956829673668835,6.787221025206236e-07,6.787221025206236e-07,6.787221025206236e-07
FB--GVI,4.990329242660664,6.216395291858134e-07,6.216395291858134e-07,6.216395291858134e-07
FB--GVI,5.0236788316397,5.693757145763811e-07,5.693757145763811e-07,5.693757145763811e-07
FB--GVI,5.056748290604446,5.215220966192646e-07,5.215220966192646e-07,5.215220966192646e-07
FB--GVI,5.090471469680779,4.777048019377617e-07,4.777048019377617e-07,4.777048019377617e-07
FB--GVI,5.124010838742834,4.375820452651169e-07,4.375820452651169e-07,4.375820452651169e-07
FB--GVI,5.15809616772458,4.0084083252622804e-07,4.0084083252622804e-07,4.0084083252622804e-07
FB--GVI,5.19113359664334,3.671950992156781e-07,3.671950992156781e-07,3.671950992156781e-07
FB--GVI,5.222508235659916,3.363829392810658e-07,3.363829392810658e-07,3.363829392810658e-07
FB--GVI,5.251079314737581,3.081647861336023e-07,3.081647861336023e-07,3.081647861336023e-07
FB--GVI,5.279819463728927,2.823213947067416e-07,2.823213947067416e-07,2.823213947067416e-07
FB--GVI,5.308873612782918,2.5865213615361426e-07,2.5865213615361426e-07,2.5865213615361426e-07
FB--GVI,5.32992977288086,2.3697344886386418e-07,2.3697344886386418e-07,2.3697344886386418e-07
FB--GVI,5.363385091884993,2.1711723263706522e-07,2.1711723263706522e-07,2.1711723263706522e-07
FB--GVI,5.3971355308895,1.989297686577629e-07,1.989297686577629e-07,1.989297686577629e-07
FB--GVI,5.431411889847368,1.8227032683171276e-07,1.8227032683171276e-07,1.8227032683171276e-07
FB--GVI,5.460813858895563,1.6701007155006664e-07,1.6701007155006664e-07,1.6701007155006664e-07
FB--GVI,5.490441617905162,1.5303103850783373e-07,1.5303103850783373e-07,1.5303103850783373e-07
FB--GVI,5.519137296942063,1.4022533889601618e-07,1.4022533889601618e-07,1.4022533889601618e-07
FB--GVI,5.54786193696782,1.284941504309245e-07,1.284941504309245e-07,1.284941504309245e-07
FB--GVI,5.577002665901091,1.1774704944400582e-07,1.1774704944400582e-07,1.1774704944400582e-07
FB--GVI,5.605926554882899,1.0790112980885169e-07,1.0790112980885169e-07,1.0790112980885169e-07
FB--GVI,5.634166313859168,9.888071872410364e-08,9.888071872410364e-08,9.888071872410364e-08
FB--GVI,5.662862773926463,9.06162824776402e-08,9.06162824776402e-08,9.06162824776402e-08
FB--GVI,5.690903202921618,8.304435539230327e-08,8.304435539230327e-08,8.304435539230327e-08
FB--GVI,5.712135501904413,7.61066587529058e-08,7.61066587529058e-08,7.61066587529058e-08
FB--GVI,5.740152280894108,6.974997290853936e-08,6.974997290853936e-08,6.974997290853936e-08
FB--GVI,5.772868479893077,6.39254551515478e-08,6.39254551515478e-08,6.39254551515478e-08
FB--GVI,5.80392885877518,5.85884833981254e-08,5.85884833981254e-08,5.85884833981254e-08
FB--GVI,5.835937007854227,5.369810196498293e-08,5.369810196498293e-08,5.369810196498293e-08
FB--GVI,5.866917496896349,4.9216822617381695e-08,4.9216822617381695e-08,4.9216822617381695e-08
FB--GVI,5.897433015925344,4.5110354562893924e-08,4.5110354562893924e-08,4.5110354562893924e-08
FB--GVI,5.929208374931477,4.134724918003485e-08,4.134724918003485e-08,4.134724918003485e-08
FB--GVI,5.95926393388072,3.7898743698860926e-08,3.7898743698860926e-08,3.7898743698860926e-08
FB--GVI,5.989924802852329,3.4738476983875444e-08,3.4738476983875444e-08,3.4738476983875444e-08
FB--GVI,6.020247191831004,3.184226216035313e-08,3.184226216035313e-08,3.184226216035313e-08
FB--GVI,6.049570920818951,2.9188043981775994e-08,2.9188043981775994e-08,2.9188043981775994e-08
FB--GVI,6.078406590793748,2.6755429871627712e-08,2.6755429871627712e-08,2.6755429871627712e-08
FB--GVI,6.107336179818958,2.452605940561625e-08,2.452605940561625e-08,2.452605940561625e-08
FB--GVI,6.134834298864007,2.2482737449536216e-08,2.2482737449536216e-08,2.2482737449536216e-08
FB--GVI,6.165540387912188,2.0610002593457466e-08,2.0610002593457466e-08,2.0610002593457466e-08
FB--GVI,6.196260196855292,1.889353029582708e-08,1.889353029582708e-08,1.889353029582708e-08
FB--GVI,6.227115075860638,1.7320317624580642e-08,1.7320317624580642e-08,1.7320317624580642e-08
FB--GVI,6.257440534885973,1.5878299564064946e-08,1.5878299564064946e-08,1.5878299564064946e-08
FB--GVI,6.2877256539068185,1.4556604810422868e-08,1.4556604810422868e-08,1.4556604810422868e-08
FB--GVI,6.317882592906244,1.3345072602533037e-08,1.3345072602533037e-08,1.3345072602533037e-08
FB--GVI,6.348043071862776,1.223449430654e-08,1.223449430654e-08,1.223449430654e-08
FB--GVI,6.378481420804746,1.121657078329008e-08,1.121657078329008e-08,1.121657078329008e-08
FB--GVI,6.408906689903233,1.0283514484399348e-08,1.0283514484399348e-08,1.0283514484399348e-08
FB--GVI,6.439231988915708,9.42816313909134e-09,9.42816313909134e-09,9.42816313909134e-09
FB--GVI,6.469631038955413,8.644093441034784e-09,8.644093441034784e-09,8.644093441034784e-09
FB--GVI,6.501288147992455,7.925294198685151e-09,7.925294198685151e-09,7.925294198685151e-09
FB--GVI,6.531672356999479,7.266365287250664e-09,7.266365287250664e-09,7.266365287250664e-09
FB--GVI,6.561920385982376,6.6623471184357186e-09,6.6623471184357186e-09,6.6623471184357186e-09
FB--GVI,6.592961835034657,6.108564321039012e-09,6.108564321039012e-09,6.108564321039012e-09
FB--GVI,6.622467654000502,5.600938379757281e-09,5.600938379757281e-09,5.600938379757281e-09
FB--GVI,6.653804963047151,5.1355186769797e-09,5.1355186769797e-09,5.1355186769797e-09
FB--GVI,6.686384232074488,4.708851975010475e-09,4.708851975010475e-09,4.708851975010475e-09
FB--GVI,6.717488482012413,4.3176697772651104e-09,4.3176697772651104e-09,4.3176697772651104e-09
FB--GVI,6.749759331112728,3.959044647672272e-09,3.959044647672272e-09,3.959044647672272e-09
FB--GVI,6.781137210084125,3.6302623129813583e-09,3.6302623129813583e-09,3.6302623129813583e-09
FB--GVI,6.812707169097848,3.328807451907778e-09,3.328807451907778e-09,3.328807451907778e-09
FB--GVI,6.845173228066415,3.052392116842384e-09,3.052392116842384e-09,3.052392116842384e-09
FB--GVI,6.877869427029509,2.798998366415617e-09,2.798998366415617e-09,2.798998366415617e-09
FB--GVI,6.910676396044437,2.566636680967349e-09,2.566636680967349e-09,2.566636680967349e-09
FB--GVI,6.9438764049555175,2.353615968786471e-09,2.353615968786471e-09,2.353615968786471e-09
FB--GVI,6.977348723914474,2.1582735598713043e-09,2.1582735598713043e-09,2.1582735598713043e-09
FB--GVI,7.010398842976429,1.9791883687503287e-09,1.9791883687503287e-09,1.9791883687503287e-09
FB--GVI,7.042407251894474,1.814981942516169e-09,1.814981942516169e-09,1.814981942516169e-09
FB--GVI,7.075106800941285,1.664403725953889e-09,1.664403725953889e-09,1.664403725953889e-09
FB--GVI,7.106804989918601,1.526316850686271e-09,1.526316850686271e-09,1.526316850686271e-09
FB--GVI,7.138575528864749,1.399740767737967e-09,1.399740767737967e-09,1.399740767737967e-09
FB--GVI,7.1690869078738615,1.2836522955694816e-09,1.2836522955694816e-09,1.2836522955694816e-09
FB--GVI,7.200633476895746,1.1771845720431884e-09,1.1771845720431884e-09,1.1771845720431884e-09
FB--GVI,7.2376033059554175,1.0795702110044656e-09,1.0795702110044656e-09,1.0795702110044656e-09
FB--GVI,7.265969344996847,9.90098669717554e-10,9.90098669717554e-10,9.90098669717554e-10
FB--GVI,7.2999337739893235,9.080167728825471e-10,9.080167728825471e-10,9.080167728825471e-10
FB--GVI,7.328767462982796,8.327560863108373e-10,8.327560863108373e-10,8.327560863108373e-10
FB--GVI,7.358238641987555,7.63719754104386e-10,7.63719754104386e-10,7.63719754104386e-10
FB--GVI,7.387532320921309,7.004103963481612e-10,7.004103963481612e-10,7.004103963481612e-10
FB--GVI,7.41601176984841,6.424016874007066e-10,6.424016874007066e-10,6.424016874007066e-10
FB--GVI,7.445430848863907,5.891962473469903e-10,5.891962473469903e-10,5.891962473469903e-10
FB--GVI,7.474295547872316,5.40353539690841e-10,5.40353539690841e-10,5.40353539690841e-10
FB--GVI,7.502605866931844,4.955893473379547e-10,4.955893473379547e-10,4.955893473379547e-10
FB--GVI,7.531114536977839,4.5453418806573604e-10,4.5453418806573604e-10,4.5453418806573604e-10
FB--GVI,7.560670375882182,4.169038447798812e-10,4.169038447798812e-10,4.169038447798812e-10
FB--GVI,7.5895804248866625,3.8234304611250986e-10,3.8234304611250986e-10,3.8234304611250986e-10
FB--GVI,7.613591203873511,3.5069547266175505e-10,3.5069547266175505e-10,3.5069547266175505e-10
FB--GVI,7.64664730388904,3.2167690733331256e-10,3.2167690733331256e-10,3.2167690733331256e-10
FB--GVI,7.677831782901194,2.950173438875936e-10,2.950173438875936e-10,2.950173438875936e-10
FB--GVI,7.710427131853066,2.705746737774461e-10,2.705746737774461e-10,2.705746737774461e-10
FB--GVI,7.738590100838337,2.482067884557182e-10,2.482067884557182e-10,2.482067884557182e-10
FB--GVI,7.767245739814825,2.2765789253753607e-10,2.2765789253753607e-10,2.2765789253753607e-10
FB--GVI,7.797308268782217,2.0882851003989342e-10,2.0882851003989342e-10,2.0882851003989342e-10
FB--GVI,7.822928917768877,1.9151968899677738e-10,1.9151968899677738e-10,1.9151968899677738e-10
FB--GVI,7.853223447862547,1.7567458598932714e-10,1.7567458598932714e-10,1.7567458598932714e-10
FB--GVI,7.882319126802031,1.6115109247039072e-10,1.6115109247039072e-10,1.6115109247039072e-10
FB--GVI,7.91157854575431,1.4779288903810084e-10,1.4779288903810084e-10,1.4779288903810084e-10
FB--GVI,7.946009234699886,1.3557155398302712e-10,1.3557155398302712e-10,1.3557155398302712e-10
FB--GVI,7.975102393655106,1.2437340046744794e-10,1.2437340046744794e-10,1.2437340046744794e-10
FB--GVI,8.005722302594222,1.1408474165364167e-10,1.1408474165364167e-10,1.1408474165364167e-10
FB--GVI,8.03311860258691,1.0464873412274756e-10,1.0464873412274756e-10,1.0464873412274756e-10
FB--GVI,8.060671932587866,9.598011274647432e-11,9.598011274647432e-11,9.598011274647432e-11
FB--GVI,8.089660951634869,8.80362449606764e-11,8.80362449606764e-11,8.80362449606764e-11
FB--GVI,8.118244670564309,8.077449820120819e-11,8.077449820120819e-11,8.077449820120819e-11
FB--GVI,8.146573699486908,7.409539648506325e-11,7.409539648506325e-11,7.409539648506325e-11
FB--GVI,8.175333048508037,6.795630724809598e-11,6.795630724809598e-11,6.795630724809598e-11
FB--GVI,8.204377507499885,6.23714413450216e-11,6.23714413450216e-11,6.23714413450216e-11
FB--GVI,8.2343404564308,5.7184479373972856e-11,5.7184479373972856e-11,5.7184479373972856e-11
FB--GVI,8.264223085483536,5.24664756085258e-11,5.24664756085258e-11,5.24664756085258e-11
FB--GVI,8.294091414485592,4.816058662981959e-11,4.816058662981959e-11,4.816058662981959e-11
FB--GVI,8.323126103496179,4.415312560013263e-11,4.415312560013263e-11,4.415312560013263e-11
FB--GVI,8.352285162662156,4.0515146793040906e-11,4.0515146793040906e-11,4.0515146793040906e-11
FB--GVI,8.382387552643195,3.714717422553804e-11,3.714717422553804e-11,3.714717422553804e-11
FB--GVI,8.410846991697326,3.409184046176961e-11,3.409184046176961e-11,3.409184046176961e-11
FB--GVI,8.440277180809062,3.127809122815961e-11,3.127809122815961e-11,3.127809122815961e-11
FB--GVI,8.469112579827197,2.8705926524708048e-11,2.8705926524708048e-11,2.8705926524708048e-11
FB--GVI,8.497709638788365,2.6290081223123707e-11,2.6290081223123707e-11,2.6290081223123707e-11
FB--GVI,8.526099407754373,2.4158453015843406e-11,2.4158453015843406e-11,2.4158453015843406e-11
FB--GVI,8.55557500681607,2.216893335571513e-11,2.216893335571513e-11,2.216893335571513e-11
FB--GVI,8.584076805913355,2.0335733097454067e-11,2.0335733097454067e-11,2.0335733097454067e-11
FB--GVI,8.612731865025125,1.8630430531629827e-11,1.8630430531629827e-11,1.8630430531629827e-11
FB--GVI,8.642201024107635,1.7109869077103212e-11,1.7109869077103212e-11,1.7109869077103212e-11
FB--GVI,8.67200467310613,1.5702994460298214e-11,1.5702994460298214e-11,1.5702994460298214e-11
FB--GVI,8.70093865209492,1.4409806681214832e-11,1.4409806681214832e-11,1.4409806681214832e-11
FB--GVI,8.730262751050759,1.3244516594568267e-11,1.3244516594568267e-11,1.3244516594568267e-11
FB--GVI,8.7598937000148,1.2136069926782511e-11,1.2136069926782511e-11,1.2136069926782511e-11
FB--GVI,8.78964018903207,1.1127099242003167e-11,1.1127099242003167e-11,1.1127099242003167e-11
FB--GVI,8.821925217926037,1.0217604540230239e-11,1.0217604540230239e-11,1.0217604540230239e-11
FB--GVI,8.850822636857629,9.350742402602918e-12,9.350742402602918e-12,9.350742402602918e-12
FB--GVI,8.880555345851462,8.597567102697212e-12,8.597567102697212e-12,8.597567102697212e-12
FB--GVI,8.91081950586522,7.887024366937112e-12,7.887024366937112e-12,7.887024366937112e-12
FB--GVI,8.940748134802561,7.261746759468224e-12,7.261746759468224e-12,7.261746759468224e-12
FB--GVI,8.976279583876021,6.650680006714538e-12,6.650680006714538e-12,6.650680006714538e-12
FB--GVI,9.009163232869469,6.0822458181064576e-12,6.0822458181064576e-12,6.0822458181064576e-12
FB--GVI,9.045752671838272,5.613287612504792e-12,5.613287612504792e-12,5.613287612504792e-12
FB--GVI,9.078138890909033,5.1443294069031245e-12,5.1443294069031245e-12,5.1443294069031245e-12
FB--GVI,9.1120121399872,4.689582056016661e-12,4.689582056016661e-12,4.689582056016661e-12
FB--GVI,9.143524988961872,4.320099833421409e-12,4.320099833421409e-12,4.320099833421409e-12
FB--GVI,9.173831447958946,3.979039320256561e-12,3.979039320256561e-12,3.979039320256561e-12
FB--GVI,9.203956336947158,3.680611371237319e-12,3.680611371237319e-12,3.680611371237319e-12
FB--GVI,9.23395462584449,3.339550858072471e-12,3.339550858072471e-12,3.339550858072471e-12
FB--GVI,9.263046264881268,3.069544618483633e-12,3.069544618483633e-12,3.069544618483633e-12
FB--GVI,9.29283814394148,2.8137492336099967e-12,2.8137492336099967e-12,2.8137492336099967e-12
FB--GVI,9.322643203951884,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12
FB--GVI,9.357703972840682,2.359001882723533e-12,2.359001882723533e-12,2.359001882723533e-12
FB--GVI,9.389178272802384,2.188471626141109e-12,2.188471626141109e-12,2.188471626141109e-12
FB--GVI,9.419759941811208,1.9895196601282805e-12,1.9895196601282805e-12,1.9895196601282805e-12
FB--GVI,9.448587870865596,1.8189894035458565e-12,1.8189894035458565e-12,1.8189894035458565e-12
FB--GVI,9.475643350859173,1.6484591469634324e-12,1.6484591469634324e-12,1.6484591469634324e-12
FB--GVI,9.50542396993842,1.5205614545266144e-12,1.5205614545266144e-12,1.5205614545266144e-12
FB--GVI,9.534272288903594,1.3926637620897964e-12,1.3926637620897964e-12,1.3926637620897964e-12
FB--GVI,9.563118197896983,1.2931877790833825e-12,1.2931877790833825e-12,1.2931877790833825e-12
FB--GVI,9.592169907817151,1.1652900866465645e-12,1.1652900866465645e-12,1.1652900866465645e-12
FB--GVI,9.620894116931597,1.0800249583553525e-12,1.0800249583553525e-12,1.0800249583553525e-12
FB--GVI,9.64935808593873,1.0231815394945445e-12,1.0231815394945445e-12,1.0231815394945445e-12
FB--GVI,9.677966164890677,9.521272659185342e-13,9.521272659185342e-13,9.521272659185342e-13
FB--GVI,9.706366215017624,8.526512829121202e-13,8.526512829121202e-13,8.526512829121202e-13
FB--GVI,9.735218223999254,7.958078640513122e-13,7.958078640513122e-13,7.958078640513122e-13
FB--GVI,9.764133962977212,7.105427357601002e-13,7.105427357601002e-13,7.105427357601002e-13
FB--GVI,9.79277183196973,6.679101716144943e-13,6.679101716144943e-13,6.679101716144943e-13
FB--GVI,9.821083632006776,5.968558980384843e-13,5.968558980384843e-13,5.968558980384843e-13
FB--GVI,9.849932020995766,5.684341886080801e-13,5.684341886080801e-13,5.684341886080801e-13
FB--GVI,9.878484049986582,5.400124791776761e-13,5.400124791776761e-13,5.400124791776761e-13
FB--GVI,9.908092388999648,4.831690603168681e-13,4.831690603168681e-13,4.831690603168681e-13
FB--GVI,9.937065129051916,4.263256414560601e-13,4.263256414560601e-13,4.263256414560601e-13
FB--GVI,9.965946718060875,3.836930773104541e-13,3.836930773104541e-13,3.836930773104541e-13
FB--GVI,10.0071885160869,3.694822225952521e-13,3.694822225952521e-13,3.694822225952521e-13
FB--GVI,10.029168685083278,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13
FB--GVI,10.056484434055164,3.410605131648481e-13,3.410605131648481e-13,3.410605131648481e-13
FB--GVI,10.090573653113095,2.842170943040401e-13,2.842170943040401e-13,2.842170943040401e-13
FB--GVI,10.124349262099711,2.557953848736361e-13,2.557953848736361e-13,2.557953848736361e-13
FB--GVI,10.158831241016742,2.273736754432321e-13,2.273736754432321e-13,2.273736754432321e-13
FB--GVI,10.19439846003661,2.273736754432321e-13,2.273736754432321e-13,2.273736754432321e-13
FB--GVI,10.226901268935762,1.9895196601282805e-13,1.9895196601282805e-13,1.9895196601282805e-13
FB--GVI,10.259195968916174,1.8474111129762605e-13,1.8474111129762605e-13,1.8474111129762605e-13
FB--GVI,10.307775597961154,1.7053025658242404e-13,1.7053025658242404e-13,1.7053025658242404e-13
FB--GVI,10.345311396988109,1.4210854715202006e-13,1.4210854715202006e-13,1.4210854715202006e-13
FB--GVI,10.375076525961047,1.4210854715202006e-13,1.4210854715202006e-13,1.4210854715202006e-13
FB--GVI,10.40525220503332,1.4210854715202006e-13,1.4210854715202006e-13,1.4210854715202006e-13
FB--GVI,10.435224544082304,1.2789769243681806e-13,1.2789769243681806e-13,1.2789769243681806e-13
FB--GVI,10.465518562996294,1.2789769243681806e-13,1.2789769243681806e-13,1.2789769243681806e-13
FB--GVI,10.494633132999295,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13
FB--GVI,10.52393611194566,9.947598300641405e-14,9.947598300641405e-14,9.947598300641405e-14
FB--GVI,10.553925760963466,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14
FB--GVI,10.58472692000214,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14
FB--GVI,10.613903729012236,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14
FB--GVI,10.643208877998404,9.947598300641405e-14,9.947598300641405e-14,9.947598300641405e-14
FB--GVI,10.670008767046966,7.105427357601003e-14,7.105427357601003e-14,7.105427357601003e-14
FB--GVI,10.699643936008217,8.526512829121202e-14,8.526512829121202e-14,8.526512829121202e-14
FB--GVI,10.729077075084206,7.105427357601003e-14,7.105427357601003e-14,7.105427357601003e-14
FB--GVI,10.758290984143969,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14
FB--GVI,10.786773263243958,7.105427357601003e-14,7.105427357601003e-14,7.105427357601003e-14
FB--GVI,10.814883352199104,5.684341886080803e-14,5.684341886080803e-14,5.684341886080803e-14
FB--GVI,10.844586391118357,4.263256414560601e-14,4.263256414560601e-14,4.263256414560601e-14
