method,algorithm_seconds,median,lower,upper
FR--R,4.548238232731819,0.2726163519017521,0.2726163519017521,0.2726163519017521
FR--R,4.580050801683683,0.2726163507462089,0.2726163507462089,0.2726163507462089
FR--R,4.611239320773166,0.2726163496506353,0.2726163496506353,0.2726163496506353
FR--R,4.642689329804853,0.2726163486138532,0.2726163486138532,0.2726163486138532
FR--R,4.674268488888629,0.2726163476343824,0.2726163476343824,0.2726163476343824
FR--R,4.7057760079042055,0.272616346710507,0.272616346710507,0.272616346710507
FR--R,4.738085366960149,0.2726163458403333,0.2726163458403333,0.2726163458403333
FR--R,4.770433515950572,0.2726163450218377,0.2726163450218377,0.2726163450218377
FR--R,4.802687354967929,0.2726163442529085,0.2726163442529085,0.2726163442529085
FR--R,4.834074504033197,0.2726163435313789,0.2726163435313789,0.2726163435313789
FR--R,4.866734832990915,0.2726163428550568,0.2726163428550568,0.2726163428550568
FR--R,4.900229391932953,0.2726163422217482,0.2726163422217482,0.2726163422217482
FR--R,4.933532010938507,0.2726163416292764,0.2726163416292764,0.2726163416292764
FR--R,4.966718999901786,0.2726163410754981,0.2726163410754981,0.2726163410754981
FR--R,4.998790108889807,0.2726163405583165,0.2726163405583165,0.2726163405583165
FR--R,5.031481777783483,0.2726163400756905,0.2726163400756905,0.2726163400756905
FR--R,5.0632844167994335,0.2726163396256436,0.2726163396256436,0.2726163396256436
FR--R,5.09494447580073,0.2726163392062684,0.2726163392062684,0.2726163392062684
FR--R,5.127546104835346,0.2726163388157315,0.2726163388157315,0.2726163388157315
FR--R,5.159054723917507,0.2726163384522766,0.2726163384522766,0.2726163384522766
FR--R,5.191978742892388,0.2726163381142253,0.2726163381142253,0.2726163381142253
FR--R,5.223798441817053,0.2726163377999784,0.2726163377999784,0.2726163377999784
FR--R,5.256245340802707,0.2726163375080146,0.2726163375080146,0.2726163375080146
FR--R,5.28821954986779,0.2726163372368915,0.2726163372368915,0.2726163372368915
FR--R,5.319944848830346,0.2726163369852429,0.2726163369852429,0.2726163369852429
FR--R,5.351666027796455,0.2726163367517772,0.2726163367517772,0.2726163367517772
FR--R,5.383606147777755,0.2726163365352755,0.2726163365352755,0.2726163365352755
FR--R,5.415060756786261,0.2726163363345892,0.2726163363345892,0.2726163363345892
FR--R,5.44699823576957,0.2726163361486372,0.2726163361486372,0.2726163361486372
FR--R,5.47867514466634,0.2726163359764038,0.2726163359764038,0.2726163359764038
FR--R,5.510171593574341,0.2726163358169352,0.2726163358169352,0.2726163358169352
FR--R,5.540912242548075,0.2726163356693371,0.2726163356693371,0.2726163356693371
FR--R,5.571914701547939,0.2726163355327718,0.2726163355327718,0.2726163355327718
FR--R,5.603060420544352,0.2726163354064554,0.2726163354064554,0.2726163354064554
FR--R,5.641678919550031,0.2726163352896549,0.2726163352896549,0.2726163352896549
FR--R,5.683466728543863,0.2726163351816855,0.2726163351816855,0.2726163351816855
FR--R,5.714101067511365,0.2726163350819079,0.2726163350819079,0.2726163350819079
FR--R,5.743910786521155,0.2726163349897259,0.2726163349897259,0.2726163349897259
FR--R,5.773766795464326,0.2726163349045841,0.2726163349045841,0.2726163349045841
FR--R,5.803717314440291,0.2726163348259643,0.2726163348259643,0.2726163348259643
FR--R,5.833526174421422,0.2726163347533849,0.2726163347533849,0.2726163347533849
FR--R,5.863496623467654,0.272616334686398,0.272616334686398,0.272616334686398
FR--R,5.893504712497816,0.2726163346245862,0.2726163346245862,0.2726163346245862
FR--R,5.923911831516307,0.2726163345675625,0.2726163345675625,0.2726163345675625
FR--R,5.953961700608488,0.2726163345149671,0.2726163345149671,0.2726163345149671
FR--R,5.9840207796078175,0.2726163344664661,0.2726163344664661,0.2726163344664661
FR--R,6.014085958653595,0.2726163344217496,0.2726163344217496,0.2726163344217496
FR--R,6.043823938642163,0.27261633438053,0.27261633438053,0.27261633438053
FR--R,6.073731557582505,0.272616334342541,0.272616334342541,0.272616334342541
FR--R,6.1038288965355605,0.2726163343075357,0.2726163343075357,0.2726163343075357
FR--R,6.133911885553971,0.2726163342752851,0.2726163342752851,0.2726163342752851
FR--R,6.164116224565078,0.2726163342455776,0.2726163342455776,0.2726163342455776
FR--R,6.194279413553886,0.2726163342182171,0.2726163342182171,0.2726163342182171
FR--R,6.224425852531567,0.2726163341930218,0.2726163341930218,0.2726163341930218
FR--R,6.254435152630322,0.2726163341698241,0.2726163341698241,0.2726163341698241
FR--R,6.284472281695344,0.272616334148469,0.272616334148469,0.272616334148469
FR--R,6.31433512060903,0.2726163341288127,0.2726163341288127,0.2726163341288127
FR--R,6.344163069617935,0.2726163341107224,0.2726163341107224,0.2726163341107224
FR--R,6.373871278658044,0.2726163340940759,0.2726163340940759,0.2726163340940759
