rescue,batch_size,oracle_pairs,median_gap
False,8,27040,0.00049482886727055
False,8,27120,0.00051709500882685
False,8,27200,0.00050302331899615
False,8,27280,0.0005111127768912501
False,8,27360,0.0005457873821521
False,8,27440,0.0005219437098644001
False,8,27520,0.00056157538977645
False,8,27600,0.0005345117691284
False,8,27680,0.00050526477056275
False,8,27760,0.00054343269957875
False,8,27840,0.000462802039292
False,8,27920,0.0005037376311833499
False,8,28000,0.0004997815842915
False,8,28080,0.00047760621875435
False,8,28160,0.00050105416766665
False,8,28240,0.0005357208699030001
False,8,28320,0.00056687464565635
False,8,28400,0.0005415827331151501
False,8,28480,0.0005204746063460499
False,8,28560,0.0005464044359935
False,8,28640,0.00060539319515435
False,8,28720,0.0005213769296478999
False,8,28800,0.0005100945409655
False,8,28880,0.00056364403576875
False,8,28960,0.00055398967510495
False,8,29040,0.0006294418799348
False,8,29120,0.0005858315653144
False,8,29200,0.0005015334774509
False,8,29280,0.0005411049079485999
False,8,29360,0.00052672959555925
False,8,29440,0.0004493217514225
False,8,29520,0.00045803637049465003
False,8,29600,0.00042304334118935
False,8,29680,0.00043088696317145005
False,8,29760,0.00047075492081780003
False,8,29840,0.0004984083851726001
False,8,29920,0.00047668579280775
False,8,30000,0.0005264107671076
False,8,30080,0.0004795310256557
False,8,30160,0.0005630408250607
False,8,30240,0.00053726003574535
False,8,30320,0.0004636636843775
False,8,30400,0.0005520782328311501
False,8,30480,0.00044814208734584996
False,8,30560,0.00046935458473335
False,8,30640,0.00052200458613555
False,8,30720,0.00047124875268205
False,8,30800,0.0005197390813211501
False,8,30880,0.00050221852102565
False,8,30960,0.00052910626380415
False,8,31040,0.0004983110007792
False,8,31120,0.0005139137866465001
False,8,31200,0.00051075222483995
False,8,31280,0.00059966845946665
False,8,31360,0.0005089050810145
False,8,31440,0.00043586884185434997
False,8,31520,0.00043100806167425
False,8,31600,0.0005246056830662501
False,8,31680,0.0005272339121855
False,8,31760,0.00046245247739835
False,8,31840,0.00047321974693210003
False,8,31920,0.00045296181434025
False,8,32000,0.00056062573025125
False,8,32080,0.00049149517435545
False,8,32160,0.00052850578722815
False,8,32240,0.00052718180585475
False,8,32320,0.0004470783211476
False,8,32400,0.0005026882896927501
False,8,32480,0.0005534256234018
False,8,32560,0.0005924630175404
False,8,32640,0.0005600624171155501
False,8,32720,0.0006210177340335
False,8,32800,0.0005278064232529501
False,8,32880,0.0005489868535732501
False,8,32960,0.0005802787236808
False,8,33040,0.000614570907675
False,8,33120,0.0006289981090441
False,8,33200,0.0005620889472419
False,8,33280,0.0005782594990186
False,8,33360,0.00059648978369335
False,8,33440,0.0005396200027688999
False,8,33520,0.00054950885416665
False,8,33600,0.000556214018113
False,8,33680,0.0005363202972738499
False,8,33760,0.00053324354613555
False,8,33840,0.00046527893554500004
False,8,33920,0.0004355164199325
False,8,34000,0.0004063176612887
False,8,34080,0.00044354817724820005
False,8,34160,0.00045621770196195
False,8,34240,0.00048147006126290004
False,8,34320,0.00046292333070625
False,8,34400,0.00046673226122920003
False,8,34480,0.00045391941833675
False,8,34560,0.00045511513611179997
False,8,34640,0.0004281122666478
False,8,34720,0.0005022420382010001
False,8,34800,0.00052011270926085
False,8,34880,0.00051132722036445
False,8,34960,0.00049160347365035
False,8,35040,0.0004998252915533
False,8,35120,0.00048732557802420005
False,8,35200,0.00057511728699565
False,8,35280,0.00059540333045315
False,8,35360,0.0006486845713360001
False,8,35440,0.00061291073373135
False,8,35520,0.0005854953206103
False,8,35600,0.0005187426076864
False,8,35680,0.0005716953909362
False,8,35760,0.0005215834876608
False,8,35840,0.0006063552552246
False,8,35920,0.00057544637714055
False,8,36000,0.00062857674110845
False,8,36080,0.0005963150170917499
False,8,36160,0.00059469115940165
False,8,36240,0.00054670867551285
False,8,36320,0.00051701733074865
False,8,36400,0.0004729568729633
False,8,36480,0.00057108425110945
False,8,36560,0.00043872203370825
False,8,36640,0.00047157962036419997
False,8,36720,0.00050514315169975
False,8,36800,0.00044752505133955
False,8,36880,0.00045460980476525
False,8,36960,0.0004382082792253
False,8,37040,0.00046609450777915
False,8,37120,0.0005470809738916
False,8,37200,0.0004408394455075
False,8,37280,0.0005301419965846
False,8,37360,0.00050914396398565
False,8,37440,0.00050897501957875
False,8,37520,0.0005486459106691
False,8,37600,0.00050822307273175
False,8,37680,0.0005493615755134
False,8,37760,0.0005740034706786499
