job_id,experiment,method,step_size,certified_step_size,step_over_certified,step_scale,protocol
F3logistic_d50_kX1e2_s3_fr-kl,L,FR--KL,0.01182255157547547,0.005911275787737735,2.0,0.005911275787737735,"frozen practical, eta=2"
F3logistic_d50_kX1e2_s3_fr-r,L,FR--R,0.01182255157547547,0.0029556378938688675,4.0,0.005911275787737735,"frozen practical, eta=2"
F3logistic_d50_kX1e2_s4_fb-gvi,L,FB--GVI,0.0062389425638102215,0.007412106787454929,0.8417232431634282,0.0062389425638102215,"frozen practical, eta=1"
F3logistic_d50_kX1e2_s4_fr-kl,L,FR--KL,0.012477885127620443,0.0062389425638102215,2.0,0.0062389425638102215,"frozen practical, eta=2"
F3logistic_d50_kX1e2_s4_fr-r,L,FR--R,0.012477885127620443,0.0031194712819051108,4.0,0.0062389425638102215,"frozen practical, eta=2"
F3logistic_d50_kX1e4_s0_fb-gvi,L,FB--GVI,0.0076760378469925,0.008113513301203296,0.9460806388095876,0.0076760378469925,"frozen practical, eta=1"
F3logistic_d50_kX1e4_s0_fr-kl,L,FR--KL,0.015352075693985,0.0076760378469925,2.0,0.0076760378469925,"frozen practical, eta=2"
F3logistic_d50_kX1e4_s0_fr-r,L,FR--R,0.015352075693985,0.00383801892349625,4.0,0.0076760378469925,"frozen practical, eta=2"
F3logistic_d50_kX1e4_s1_fb-gvi,L,FB--GVI,0.007612845996262848,0.00806863378831699,0.9435111564098867,0.007612845996262848,"frozen practical, eta=1"
F3logistic_d50_kX1e4_s1_fr-kl,L,FR--KL,0.015225691992525697,0.007612845996262799,2.000000000000013,0.007612845996262848,"frozen practical, eta=2"
F3logistic_d50_kX1e4_s1_fr-r,L,FR--R,0.015225691992525697,0.0038064229981313994,4.000000000000026,0.007612845996262848,"frozen practical, eta=2"
F3logistic_d50_kX1e4_s2_fb-gvi,L,FB--GVI,0.0072734361239208695,0.007939157622131173,0.9161470863918181,0.0072734361239208695,"frozen practical, eta=1"
F3logistic_d50_kX1e4_s2_fr-kl,L,FR--KL,0.014546872247841739,0.0072734361239207715,2.000000000000027,0.0072734361239208695,"frozen practical, eta=2"
F3logistic_d50_kX1e4_s2_fr-r,L,FR--R,0.014546872247841739,0.0036367180619603858,4.000000000000054,0.0072734361239208695,"frozen practical, eta=2"
F3logistic_d50_kX1e4_s3_fb-gvi,L,FB--GVI,0.0074961951615120075,0.008007438319852928,0.9361539686077395,0.0074961951615120075,"frozen practical, eta=1"
F3logistic_d50_kX1e4_s3_fr-kl,L,FR--KL,0.014992390323024015,0.0074961951615120015,2.0000000000000018,0.0074961951615120075,"frozen practical, eta=2"
F3logistic_d50_kX1e4_s3_fr-r,L,FR--R,0.014992390323024015,0.0037480975807560007,4.0000000000000036,0.0074961951615120075,"frozen practical, eta=2"
F3logistic_d50_kX1e4_s4_fb-gvi,L,FB--GVI,0.00720230939817386,0.007656442264351843,0.940686176359951,0.00720230939817386,"frozen practical, eta=1"
F3logistic_d50_kX1e4_s4_fr-kl,L,FR--KL,0.01440461879634772,0.007202309398173778,2.0000000000000226,0.00720230939817386,"frozen practical, eta=2"
F3logistic_d50_kX1e4_s4_fr-r,L,FR--R,0.01440461879634772,0.003601154699086889,4.000000000000045,0.00720230939817386,"frozen practical, eta=2"
