job_id,backend,fisher_rao_residual_squared,bures_wasserstein_residual_squared,quadrature_resolution_floor,independent_design_residual_squared
J_floor_d8_B4_core,gauss_hermite_foc,1.3603521069453133e-13,7.119573327182528e-14,,
J_floor_d8_B64_core,gauss_hermite_foc,1.3603521069453133e-13,7.119573327182528e-14,,
J_floor_d8_k100_rho0.5_B1,gauss_hermite_foc,1.0154840181114933e-09,3.340969266691086e-10,,
J_floor_d8_k100_rho0.5_B16,gauss_hermite_foc,1.0154840181114933e-09,3.340969266691086e-10,,
J_floor_d8_k100_rho0.5_B2,gauss_hermite_foc,1.0154840181114933e-09,3.340969266691086e-10,,
J_floor_d8_k100_rho0.5_B32,gauss_hermite_foc,1.0154840181114933e-09,3.340969266691086e-10,,
J_floor_d8_k100_rho0.5_B4,gauss_hermite_foc,1.0154840181114933e-09,3.340969266691086e-10,,
J_floor_d8_k100_rho0.5_B64,gauss_hermite_foc,1.0154840181114933e-09,3.340969266691086e-10,,
J_floor_d8_k100_rho0.5_B8,gauss_hermite_foc,1.0154840181114933e-09,3.340969266691086e-10,,
J_floor_d8_k100_rho1_B1,gauss_hermite_foc,8.884574145416068e-18,8.757344963113023e-18,,
J_floor_d8_k100_rho1_B16,gauss_hermite_foc,8.884574145416068e-18,8.757344963113023e-18,,
J_floor_d8_k100_rho1_B2,gauss_hermite_foc,8.884574145416068e-18,8.757344963113023e-18,,
J_floor_d8_k100_rho1_B32,gauss_hermite_foc,8.884574145416068e-18,8.757344963113023e-18,,
J_floor_d8_k100_rho1_B4,gauss_hermite_foc,8.884574145416068e-18,8.757344963113023e-18,,
J_floor_d8_k100_rho1_B64,gauss_hermite_foc,8.884574145416068e-18,8.757344963113023e-18,,
J_floor_d8_k100_rho1_B8,gauss_hermite_foc,8.884574145416068e-18,8.757344963113023e-18,,
J_floor_d8_k10_rho0.5_B1,gauss_hermite_foc,9.031762873182297e-15,5.283756583899286e-15,,
J_floor_d8_k10_rho0.5_B16,gauss_hermite_foc,9.031762873182297e-15,5.283756583899286e-15,,
J_floor_d8_k10_rho0.5_B2,gauss_hermite_foc,9.031762873182297e-15,5.283756583899286e-15,,
J_floor_d8_k10_rho0.5_B32,gauss_hermite_foc,9.031762873182297e-15,5.283756583899286e-15,,
J_floor_d8_k10_rho0.5_B4,gauss_hermite_foc,9.031762873182297e-15,5.283756583899286e-15,,
J_floor_d8_k10_rho0.5_B64,gauss_hermite_foc,9.031762873182297e-15,5.283756583899286e-15,,
J_floor_d8_k10_rho0.5_B8,gauss_hermite_foc,9.031762873182297e-15,5.283756583899286e-15,,
J_floor_d8_k10_rho1_B1,gauss_hermite_foc,7.016928861378276e-22,8.450693899168627e-22,,
J_floor_d8_k10_rho1_B16,gauss_hermite_foc,7.016928861378276e-22,8.450693899168627e-22,,
J_floor_d8_k10_rho1_B2,gauss_hermite_foc,7.016928861378276e-22,8.450693899168627e-22,,
J_floor_d8_k10_rho1_B32,gauss_hermite_foc,7.016928861378276e-22,8.450693899168627e-22,,
J_floor_d8_k10_rho1_B4,gauss_hermite_foc,7.016928861378276e-22,8.450693899168627e-22,,
J_floor_d8_k10_rho1_B64,gauss_hermite_foc,7.016928861378276e-22,8.450693899168627e-22,,
J_floor_d8_k10_rho1_B8,gauss_hermite_foc,7.016928861378276e-22,8.450693899168627e-22,,
J_minibatch_floor_B1_smoke,gauss_hermite_foc,8.885174882512757e-15,5.18461908670262e-15,,
J_minibatch_floor_B8_smoke,gauss_hermite_foc,8.885174882512757e-15,5.18461908670262e-15,,
K_decreasing_d4_rho0.3_B1,gauss_hermite_foc,4.898269835211439e-30,1.5916969838461655e-29,,
K_decreasing_d4_rho0.3_B8,gauss_hermite_foc,9.932706172082173e-30,1.1634752312999851e-29,,
K_decreasing_d4_rho1_B1,gauss_hermite_foc,3.228902192706031e-30,4.727574467285886e-31,,
K_decreasing_d4_rho1_B8,gauss_hermite_foc,2.7984933785932182e-30,4.459695445133772e-31,,
K_decreasing_d8_core,gauss_hermite_foc,1.4839062793638525e-25,3.4906270620555315e-25,,
K_decreasing_d8_rho0.3_B1,gauss_hermite_foc,1.3604245127331668e-29,2.104060977366166e-29,,
K_decreasing_d8_rho0.3_B8,gauss_hermite_foc,1.1007646448149426e-29,1.9302288705152077e-29,,
