experiment,job_id,method,kappa_star,certified_step,largest_stable_multiple,best_multiple,best_terminal_gap,oracle_pairs,wall_time_seconds
L,L_logistic_d100_lam1_fc1e2,FR--R,336.1886811695965,0.001486981667897997,512.0,128.0,-1.3478165783453733e-07,120.0,55.33311673102435
L,L_logistic_d100_lam1_fc1e4,FB--GVI,295.4213573510247,0.00372264376126,4.0,1.0,2.4054123793840745,120.0,56.53917287499644
L,L_logistic_d100_lam1_fc1e4,FR--KL,295.4213573510247,0.0033847824958143907,128.0,32.0,-8.86315092429868e-08,120.0,56.712586210051086
L,L_logistic_d100_lam1_fc1e4,FR--R,295.4213573510247,0.0016923912479071962,512.0,128.0,-3.7451914067787584e-06,120.0,54.7341694990173
L,L_logistic_d10_lam0.1_fc1e0,FB--GVI,683.9478107317375,0.024980515831498,8.0,0.25,-7.134204338399286e-09,200.0,16.8378776779864
L,L_logistic_d10_lam0.1_fc1e0,FR--KL,683.9478107317375,0.0014622348275583046,512.0,512.0,-1.4210854715202004e-14,200.0,16.650373113981914
L,L_logistic_d10_lam0.1_fc1e0,FR--KL--STL,683.9478107317375,0.0001827793534447875,64.0,64.0,0.0676659821670426,3200.0,9.026546610984951
L,L_logistic_d10_lam0.1_fc1e0,FR--R,683.9478107317375,0.0007311174137791523,1024.0,1024.0,0.0,200.0,16.4160188609967
L,L_logistic_d10_lam0.1_fc1e0,FR--R--STL,683.9478107317375,0.001462234827558303,64.0,64.0,0.0003915162139236,3200.0,8.723040901008062
L,L_logistic_d10_lam0.1_fc1e0,S--FB--GVI,683.9478107317375,0.024980515831498375,,10.00779974626347,83.83650327454723,3200.0,7.996818151033949
L,L_logistic_d10_lam0.1_fc1e2,FB--GVI,357.0092055019168,0.0374211919235889,4.0,1.0,0.0208019711029621,200.0,16.84534227801487
L,L_logistic_d10_lam0.1_fc1e2,FR--KL,357.0092055019168,0.0028009455603888248,256.0,256.0,0.0,200.0,16.487058667989913
L,L_logistic_d10_lam0.1_fc1e2,FR--KL--STL,357.0092055019168,0.0003501181950486016,64.0,64.0,0.0068285546983588,3200.0,8.80762020801194
L,L_logistic_d10_lam0.1_fc1e2,FR--R,357.0092055019168,0.0014004727801944122,512.0,256.0,0.0,200.0,16.768424590991344
L,L_logistic_d10_lam0.1_fc1e2,FR--R--STL,357.0092055019168,0.0028009455603888234,64.0,64.0,0.0003637478913844,3200.0,8.51397883601021
L,L_logistic_d10_lam0.1_fc1e2,S--FB--GVI,357.0092055019168,0.037421191923588906,6.68070649674869,6.68070649674869,13.12033974825144,3200.0,8.186914485995658
L,L_logistic_d10_lam0.1_fc1e4,FB--GVI,268.6304886466881,0.0406198764423424,4.0,1.0,0.0764793241013279,200.0,17.4553615989862
L,L_logistic_d10_lam0.1_fc1e4,FR--KL,268.6304886466881,0.003722615169619625,128.0,16.0,-1.0274874284732505e-08,200.0,17.779767200001515
L,L_logistic_d10_lam0.1_fc1e4,FR--KL--STL,268.6304886466881,0.00046532689620245313,64.0,64.0,0.0006835312494786,3200.0,8.949017413018737
L,L_logistic_d10_lam0.1_fc1e4,FR--R,268.6304886466881,0.0018613075848098125,256.0,32.0,-6.114703410275979e-09,200.0,17.714181212009862
L,L_logistic_d10_lam0.1_fc1e4,FR--R--STL,268.6304886466881,0.0037226151696196264,64.0,64.0,0.0001725877465901,3200.0,9.034885010973085
L,L_logistic_d10_lam0.1_fc1e4,S--FB--GVI,268.6304886466881,0.040619876442342405,6.154622364616513,6.154622364616513,11.302953144337607,3200.0,8.551789625023957
L,L_logistic_d10_lam1_fc1e0,FB--GVI,65.25998444418482,0.0250812277871544,4.0,1.0,0.0,200.0,17.02458668302279
L,L_logistic_d10_lam1_fc1e0,FR--KL,65.25998444418482,0.0153235402505068,64.0,4.0,-3.616993637933774e-08,200.0,17.248779725050554
L,L_logistic_d10_lam1_fc1e0,FR--KL--STL,65.25998444418482,0.00191544253131335,64.0,64.0,0.0001578830618882,3200.0,8.861928095982876
L,L_logistic_d10_lam1_fc1e0,FR--R,65.25998444418482,0.0076617701252534,128.0,8.0,-2.432484791370371e-08,200.0,18.54494891699869
L,L_logistic_d10_lam1_fc1e0,FR--R--STL,65.25998444418482,0.01532354025050681,16.314767730761925,16.314767730761925,0.0005037171152793,3200.0,8.734096258995123
L,L_logistic_d10_lam1_fc1e0,S--FB--GVI,65.25998444418482,0.025081227787154485,,9.967614110503758,142.076584900071,3200.0,7.728934390004724
L,L_logistic_d10_lam1_fc1e2,FB--GVI,31.77119869257238,0.047515979617789,4.0,1.0,-1.1218048712180462e-10,200.0,17.97958840400679
L,L_logistic_d10_lam1_fc1e2,FR--KL,31.77119869257238,0.03147643755276611,32.0,16.0,0.0,200.0,17.288348364993
L,L_logistic_d10_lam1_fc1e2,FR--KL--STL,31.77119869257238,0.003934554694095764,63.53959200901508,63.53959200901508,0.0001602344978977,3200.0,8.442680068023037
L,L_logistic_d10_lam1_fc1e2,FR--R,31.77119869257238,0.01573821877638305,64.0,16.0,-1.4210854715202004e-14,200.0,18.063596781983502
L,L_logistic_d10_lam1_fc1e2,FR--R--STL,31.77119869257238,0.031476437552766114,7.942449001126885,7.942449001126885,0.0001911971804986,3200.0,8.381421021011192
L,L_logistic_d10_lam1_fc1e2,S--FB--GVI,31.77119869257238,0.04751597961778906,,5.261387895418762,44.121608575429946,3200.0,7.893905244010966
L,L_logistic_d10_lam1_fc1e4,FB--GVI,27.66913684967041,0.037062507477253,2.0,1.0,1.545933514535136e-08,200.0,17.329035394010134
L,L_logistic_d10_lam1_fc1e4,FR--KL,27.66913684967041,0.03614156535334775,16.0,2.0,-1.041826180880889e-09,200.0,16.998537392995786
L,L_logistic_d10_lam1_fc1e4,FR--KL--STL,27.66913684967041,0.004517695669168473,55.33794622469889,55.33794622469889,1.15640773543646e-05,3200.0,8.642887772002723
L,L_logistic_d10_lam1_fc1e4,FR--R,27.66913684967041,0.018070782676673874,32.0,4.0,-3.927453917640378e-10,200.0,18.695220533001702
L,L_logistic_d10_lam1_fc1e4,FR--R--STL,27.66913684967041,0.03614156535334778,6.917243278087361,6.917243278087361,1.3735607652165529e-05,3200.0,8.62706851301482
L,L_logistic_d10_lam1_fc1e4,S--FB--GVI,27.66913684967041,0.03706250747725304,,6.745361202380505,39.05704693814698,3200.0,7.965276031987742
L,L_logistic_d50_lam0.1_fc1e0,FR--KL,29335.707476313703,0.0002952013684436,1.0,1.0,-939060.2775707562,200.0,86.81113741203444
L,L_logistic_d50_lam0.1_fc1e0,FR--R,29335.707476313703,0.00014760068422180273,4096.0,512.0,-939383.1521388524,200.0,90.52041184302652
L,L_logistic_d50_lam0.1_fc1e2,FR--KL,1676.7906415473544,0.0005962510808616,2.0,2.0,37.01581809804094,200.0,90.70368121704088
L,L_logistic_d50_lam0.1_fc1e2,FR--R,1676.7906415473544,0.00029812554043080584,2048.0,256.0,-1.5681450804549968e-08,200.0,95.07379444601249
L,L_logistic_d50_lam0.1_fc1e4,FR--KL,1435.9230406534969,0.00069638644834775,2.0,2.0,25.44250929625713,200.0,91.84185117302697
L,L_logistic_d50_lam0.1_fc1e4,FR--R,1435.9230406534969,0.0003481932241738801,1024.0,1024.0,-1.1368683772161605e-13,200.0,89.2507574299816
L,L_logistic_d50_lam1_fc1e0,FR--KL,949.1804440245542,0.0009696507042639,2.0,2.0,-88317.0589006284,200.0,88.16342578304466
L,L_logistic_d50_lam1_fc1e0,FR--R,949.1804440245542,0.0004848253521319691,1024.0,1024.0,-88367.95866103604,200.0,89.89336554100737
L,L_logistic_d50_lam1_fc1e2,FR--KL,176.62525669367656,0.005662425378540168,16.0,16.0,-6.71775524097029e-10,200.0,92.50798844301607
L,L_logistic_d50_lam1_fc1e2,FR--R,176.62525669367656,0.002831212689270084,256.0,32.0,-5.496190169651527e-10,200.0,93.04016015701929
L,L_logistic_d50_lam1_fc1e4,FR--KL,132.56801051844494,0.007543520403222156,16.0,16.0,6.821210263296962e-13,200.0,90.20864517200972
L,L_logistic_d50_lam1_fc1e4,FR--R,132.56801051844494,0.003771760201611078,256.0,32.0,-2.387423592153937e-12,200.0,90.80116284399992
