job_id,experiment,backend,alpha_star,residual_on_design,certified_gap_bound,residual_transfer,transfer_objective_difference
F3logistic_d50_kX1e2_s0_laplace,L,fixed_qmc_foc_newton,0.008920637617070163,1.730455178896388e-13,8.71435618017174e-23,0.0019532022936864114,0.000566052138140094
F3logistic_d50_kX1e2_s1_fb-gvi,L,fixed_qmc_foc_newton,0.009061694677639783,3.800019886702757e-13,3.866758178670488e-22,0.0020038142755112163,0.0041231790518168054
F3logistic_d50_kX1e2_s1_fr-kl,L,fixed_qmc_foc_newton,0.009061694677639783,3.800019886702757e-13,3.866758178670488e-22,0.0020038142755112163,0.0041231790518168054
F3logistic_d50_kX1e2_s1_fr-r,L,fixed_qmc_foc_newton,0.009061694677639783,3.800019886702757e-13,3.866758178670488e-22,0.0020038142755112163,0.0041231790518168054
F3logistic_d50_kX1e2_s1_laplace,L,fixed_qmc_foc_newton,0.009061694677639783,3.800019886702757e-13,3.866758178670488e-22,0.0020038142755112163,0.0041231790518168054
F3logistic_d50_kX1e2_s2_fb-gvi,L,fixed_qmc_foc_newton,0.009877549776503632,2.9298276179580723e-13,2.0989437939967767e-22,0.001871847691679796,-0.0032324610841101276
F3logistic_d50_kX1e2_s2_fr-kl,L,fixed_qmc_foc_newton,0.009877549776503632,2.9298276179580723e-13,2.0989437939967767e-22,0.001871847691679796,-0.0032324610841101276
F3logistic_d50_kX1e2_s2_fr-r,L,fixed_qmc_foc_newton,0.009877549776503632,2.9298276179580723e-13,2.0989437939967767e-22,0.001871847691679796,-0.0032324610841101276
F3logistic_d50_kX1e2_s2_laplace,L,fixed_qmc_foc_newton,0.009877549776503632,2.9298276179580723e-13,2.0989437939967767e-22,0.001871847691679796,-0.0032324610841101276
F3logistic_d50_kX1e2_s3_fb-gvi,L,fixed_qmc_foc_newton,0.00846647159611234,1.8846727219957897e-13,8.849181663078886e-23,0.0021841194302911187,0.005530738684797143
F3logistic_d50_kX1e2_s3_fr-kl,L,fixed_qmc_foc_newton,0.00846647159611234,1.8846727219957897e-13,8.849181663078886e-23,0.0021841194302911187,0.005530738684797143
F3logistic_d50_kX1e2_s3_fr-r,L,fixed_qmc_foc_newton,0.00846647159611234,1.8846727219957897e-13,8.849181663078886e-23,0.0021841194302911187,0.005530738684797143
F3logistic_d50_kX1e2_s3_laplace,L,fixed_qmc_foc_newton,0.00846647159611234,1.8846727219957897e-13,8.849181663078886e-23,0.0021841194302911187,0.005530738684797143
F3logistic_d50_kX1e2_s4_fb-gvi,L,fixed_qmc_foc_newton,0.009097774367218259,6.745763260250727e-13,1.465811088649687e-21,0.0019528350255834494,0.003683422529775271
F3logistic_d50_kX1e2_s4_fr-kl,L,fixed_qmc_foc_newton,0.009097774367218259,6.745763260250727e-13,1.465811088649687e-21,0.0019528350255834494,0.003683422529775271
F3logistic_d50_kX1e2_s4_fr-r,L,fixed_qmc_foc_newton,0.009097774367218259,6.745763260250727e-13,1.465811088649687e-21,0.0019528350255834494,0.003683422529775271
F3logistic_d50_kX1e2_s4_laplace,L,fixed_qmc_foc_newton,0.009097774367218259,6.745763260250727e-13,1.465811088649687e-21,0.0019528350255834494,0.003683422529775271
F3logistic_d50_kX1e4_s0_fb-gvi,L,fixed_qmc_foc_newton,0.008804996110054194,4.022854228525716e-13,4.2322868333090796e-22,0.001012771320380299,0.002697230204432799
F3logistic_d50_kX1e4_s0_fr-kl,L,fixed_qmc_foc_newton,0.008804996110054194,4.022854228525716e-13,4.2322868333090796e-22,0.001012771320380299,0.002697230204432799
F3logistic_d50_kX1e4_s0_fr-r,L,fixed_qmc_foc_newton,0.008804996110054194,4.022854228525716e-13,4.2322868333090796e-22,0.001012771320380299,0.002697230204432799
F3logistic_d50_kX1e4_s0_laplace,L,fixed_qmc_foc_newton,0.008804996110054194,4.022854228525716e-13,4.2322868333090796e-22,0.001012771320380299,0.002697230204432799
F3logistic_d50_kX1e4_s1_fb-gvi,L,fixed_qmc_foc_newton,0.008872676868039232,7.738956373328368e-13,1.9639811727960477e-21,0.0008659064585093469,0.004628263549136591
F3logistic_d50_kX1e4_s1_fr-kl,L,fixed_qmc_foc_newton,0.008872676868039232,7.738956373328368e-13,1.9639811727960477e-21,0.0008659064585093469,0.004628263549136591
F3logistic_d50_kX1e4_s1_fr-r,L,fixed_qmc_foc_newton,0.008872676868039232,7.738956373328368e-13,1.9639811727960477e-21,0.0008659064585093469,0.004628263549136591
F3logistic_d50_kX1e4_s1_laplace,L,fixed_qmc_foc_newton,0.008872676868039232,7.738956373328368e-13,1.9639811727960477e-21,0.0008659064585093469,0.004628263549136591
F3logistic_d50_kX1e4_s2_fb-gvi,L,fixed_qmc_foc_newton,0.008952878817945474,2.648006474529528e-13,1.8817088841389673e-22,0.0009815263996935367,0.004276163056488258
F3logistic_d50_kX1e4_s2_fr-kl,L,fixed_qmc_foc_newton,0.008952878817945474,2.648006474529528e-13,1.8817088841389673e-22,0.0009815263996935367,0.004276163056488258
F3logistic_d50_kX1e4_s2_fr-r,L,fixed_qmc_foc_newton,0.008952878817945474,2.648006474529528e-13,1.8817088841389673e-22,0.0009815263996935367,0.004276163056488258
F3logistic_d50_kX1e4_s2_laplace,L,fixed_qmc_foc_newton,0.008952878817945474,2.648006474529528e-13,1.8817088841389673e-22,0.0009815263996935367,0.004276163056488258
F3logistic_d50_kX1e4_s3_fb-gvi,L,fixed_qmc_foc_newton,0.009009661225196945,1.3647224822735014e-13,4.5845451493923274e-23,0.0008739958049175704,0.0014822882150156147
F3logistic_d50_kX1e4_s3_fr-kl,L,fixed_qmc_foc_newton,0.009009661225196945,1.3647224822735014e-13,4.5845451493923274e-23,0.0008739958049175704,0.0014822882150156147
F3logistic_d50_kX1e4_s3_fr-r,L,fixed_qmc_foc_newton,0.009009661225196945,1.3647224822735014e-13,4.5845451493923274e-23,0.0008739958049175704,0.0014822882150156147
F3logistic_d50_kX1e4_s3_laplace,L,fixed_qmc_foc_newton,0.009009661225196945,1.3647224822735014e-13,4.5845451493923274e-23,0.0008739958049175704,0.0014822882150156147
F3logistic_d50_kX1e4_s4_fb-gvi,L,fixed_qmc_foc_newton,0.008398985252714975,7.398480209036155e-13,1.693854204923912e-21,0.0008999923689141999,-0.002113757867903132
F3logistic_d50_kX1e4_s4_fr-kl,L,fixed_qmc_foc_newton,0.008398985252714975,7.398480209036155e-13,1.693854204923912e-21,0.0008999923689141999,-0.002113757867903132
F3logistic_d50_kX1e4_s4_fr-r,L,fixed_qmc_foc_newton,0.008398985252714975,7.398480209036155e-13,1.693854204923912e-21,0.0008999923689141999,-0.002113757867903132
F3logistic_d50_kX1e4_s4_laplace,L,fixed_qmc_foc_newton,0.008398985252714975,7.398480209036155e-13,1.693854204923912e-21,0.0008999923689141999,-0.002113757867903132
