tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,23,0.04,1.0498796782384852,0.02707176845368542,nan,0.09736904984688358,0.03188761306224088,0.33634013128290374,0.7292839537269218,2.428819745502087,0.7154241061611277,0.956107246732339,0.03614638485040816,0.03758361262248098,0.03442053898470476,,nan,nan,nan,nan,nan,nan,nan,23,185,185,185,0,0,23,23,71,71,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,24,0.04,1.04794066747844,0.025132757693640206,nan,0.09061414211373608,0.0338364168654386,0.32510940513053865,0.7292359863333564,2.4679487172904624,0.7269497904851886,0.956044360428094,0.03376452181505663,0.035022074573121426,0.036074498028028756,,nan,nan,nan,nan,nan,nan,nan,24,193,193,193,0,0,24,24,74,74,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,25,0.04,1.0466398234746666,0.023831913689866813,nan,0.08641408202352294,0.03164143785217111,0.31779597997069564,0.729458665963643,2.4882988805680015,0.7329440588536122,0.9563362983037718,0.03207175648606366,0.03306852396165449,0.03755269799148664,,nan,nan,nan,nan,nan,nan,nan,25,201,201,201,0,0,25,25,77,77,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,26,0.04,1.046719783517292,0.02391187373249215,nan,0.08740572523020504,0.03154338473569739,0.3182585430847942,0.7290466834043611,2.4783473193161685,0.7300127640028172,0.9557961801393129,0.032077943477941566,0.03284498401000983,0.03903586801607162,,nan,nan,nan,nan,nan,nan,nan,26,209,209,209,0,0,26,26,80,80,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,27,0.04,1.0450097298533758,0.022201820068576072,nan,0.08183077457497004,0.03352566710586555,0.30731490034986114,0.7305397627201441,2.508425208054263,0.7388723949842902,0.9577536398454671,0.029909116486774023,0.03023482953670646,0.040488528029527515,,nan,nan,nan,nan,nan,nan,nan,27,217,217,217,0,0,27,27,83,83,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,28,0.04,1.0453189877689264,0.02251107798412666,nan,0.08398655793126705,0.03124930895685701,0.30959939646134654,0.7318046477886185,2.4884621630571084,0.7329921547360004,0.9594119318921686,0.03011023800748936,0.030032817769392314,0.04194950801320374,,nan,nan,nan,nan,nan,nan,nan,28,225,225,225,0,0,28,28,86,86,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,29,0.04,1.0439744095902794,0.021166499805479688,nan,0.07930967895532406,0.02731102114208012,0.30153160636869636,0.7345403249923348,2.5071886015203813,0.7385081447653048,0.9629984646628776,0.02835298389703709,0.027873754640292143,0.04344234801828861,,nan,nan,nan,nan,nan,nan,nan,29,233,233,233,0,0,29,29,89,89,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,30,0.04,1.0423651471744722,0.01955723738967241,nan,0.07354762990836167,0.029871594414603454,0.29048166134130105,0.7371892172690586,2.5465000793167416,0.7500875873799401,0.9664712204922725,0.02637249354764163,0.025678767456114124,0.04489924799418077,,nan,nan,nan,nan,nan,nan,nan,30,241,241,241,0,0,30,30,92,92,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,31,0.04,1.0413565802519673,0.01854867046716757,nan,0.06989235598070545,0.032632971433862325,0.2829600376173337,0.7392075359967076,2.5753891472217174,0.7585970437206261,0.9691172805788251,0.02515539640590805,0.024351544546250912,0.04637204803293571,,nan,nan,nan,nan,nan,nan,nan,31,249,249,249,0,0,31,31,95,95,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,32,0.04,1.0395870440343271,0.016779134249527372,nan,0.06389779720030106,0.03260219307285243,0.27000800258289653,0.7394390985982973,2.607641582451205,0.7680972010247267,0.9694208642245653,0.022851309910516315,0.021763633100400862,0.04785866802558303,,nan,nan,nan,nan,nan,nan,nan,32,257,257,257,0,0,32,32,98,98,0,8,True,False,0.04
