tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_dimension,grid_family,grid_feature_condition,grid_role
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,20,0.05010292348919832,402.0035556472106,3.2879091190101803,nan,0.4373125605057324,1.1670876042474096,4.184315176786483,0.01642586364497062,0.6812324904282907,1.2567656622320373,1.8089867207663963,3.3014433244242536,8.02764938363454,279.80585191538415,2.1002451170352288,0.1765198870562017,,nan,nan,nan,nan,nan,0.7398993443178428,0.4634,0.26830279722489064,20,20,20,20,20,20,20,40,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,14403.405076065434,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,21,0.05010292348919832,401.61489673810354,2.89925020990313,nan,0.3851162841938996,1.0909393072266065,3.8903505368355478,0.015950181598991094,0.6736057718282843,1.2427206557474235,1.7504739342539082,3.208222522081732,6.950174668670215,248.703307368901,2.203761844022665,0.1852788160322234,,nan,nan,nan,nan,nan,0.7397255642909997,0.4632,0.2682526640246724,21,21,21,21,21,21,21,42,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,12802.357260472068,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,22,0.05010292348919832,401.2781409615892,2.5624944333887925,nan,0.33989902743128764,1.0217248410750164,3.6237193014899227,0.015518742668174787,0.6664551855126698,1.2295547440422514,1.6976630479149597,3.123974012942615,6.039082483678763,221.45575000726558,2.308296491042711,0.19438463501865044,,nan,nan,nan,nan,nan,0.7395646091326631,0.4632,0.26820603898108525,22,22,22,22,22,22,22,44,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,11399.750405302912,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,23,0.05010292348919832,400.9853212620344,2.2696747338339947,nan,0.3006011650167275,0.9585727857606657,3.381031995679565,0.015126179731973494,0.659745796952008,1.2172032715908692,1.6498167232643022,3.0475418949037087,5.26469303129471,197.516206985271,2.4111690080026165,0.20307223504642025,,nan,nan,nan,nan,nan,0.7394144260779614,0.4626,0.26816232274436513,23,23,23,23,23,23,23,46,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,10167.428303669534,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,24,0.05010292348919832,400.7298826021063,2.014236073905863,nan,0.26634650918552877,0.9007522410889606,3.159433114751645,0.014767927866412591,0.6534456124155714,1.205607045205305,1.6063168966551482,2.9779586827855336,4.603393763050056,176.42788781545744,2.5149428950389847,0.211755485041067,,nan,nan,nan,nan,nan,0.739273410556346,0.463,0.2681210538774639,24,24,24,24,24,24,24,48,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,9081.877014098809,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,25,0.05010292348919832,400.50639519450186,1.7907486663014538,nan,0.23640627804198427,0.8476455411826121,2.9564999976373256,0.014440084857936296,0.6475253225727245,1.1947118537178512,1.5666419204030813,2.9144085950303524,4.0362386276695155,157.80692904829954,2.619360172015149,0.22069908503908664,,nan,nan,nan,nan,nan,0.7391402966157682,0.4636,0.26808187426996766,25,25,25,25,25,25,25,50,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,8123.336618348992,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,26,0.05010292348919832,400.3103335222668,1.5946869940663646,nan,0.21017101151747725,0.7987270886282198,2.770163817995111,0.01413929899960406,0.6419580624709372,1.1844680194954524,1.5303487038906294,2.8561990590228534,3.547906798497758,141.32891750807883,2.7228343290043995,0.22944189503323287,,nan,nan,nan,nan,nan,0.7390140764216593,0.464,0.2680445038375554,26,26,26,26,26,26,26,52,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,7275.107485765827,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,27,0.05010292348919832,400.13790436515467,1.422257836954259,nan,0.1871284902528143,0.7535467672841132,2.598647256817908,0.01386267814653103,0.6367191896254459,1.1748299845888,1.4970586376056187,2.802738376759134,3.125919796754463,126.71826267365925,2.825050956045743,0.23816676501883194,,nan,nan,nan,nan,nan,0.7388939405249415,0.4644,0.268008721842222,27,27,27,27,27,27,27,54,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,6523.00320143385,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,28,0.05010292348919832,399.9859117421378,1.270265213937364,nan,0.16684623441064772,0.7117168195415784,2.440414892831208,0.013607715602503541,0.63178608060376,1.1657559319324509,1.4664464068011762,2.753518058523661,2.760046694994858,113.73974104422666,2.9291862030513585,0.24715333501808345,,nan,nan,nan,nan,nan,0.7387792331301802,0.4636,0.26797435298255595,28,28,28,28,28,28,28,56,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,5854.915300349761,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,29,0.05010292348919832,399.8516499519848,1.136003423784416,nan,0.14895752926369654,0.6729013726064141,2.2941333864075286,0.013372229445730742,0.6271379456690642,1.1572074405769412,1.4382310323725254,2.7080987297063497,2.4418478172699842,102.1917131531583,3.0318199600442313,0.25596788502298295,,nan,nan,nan,nan,nan,0.7386694183089572,0.4634,0.2679412569541327,29,29,29,29,29,29,29,58,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,5260.464103542558,50,logistic,100.0,stepsize_pilot
