tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,20,0.0963855421686747,1.2491235979749495,8.735635443346546e-05,nan,0.00012256868096240076,0.01065991370092366,0.01116050399058202,0.8480003441534696,0.8570879334859366,1.000431064155235,1.011152176156153,2.0097213884924305,0.00017474157638906366,0.00027433347836185976,0.013927060004789382,0.0048100200947374105,,nan,nan,nan,nan,nan,nan,nan,nan,20,81,81,81,0,20,40,60,22,22,0,4,True,False,0.0963855421686747,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.00016182289051128783
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,21,0.09523809523809523,1.249130270240609,9.402862009300073e-05,nan,0.0001498543457403626,0.012942734108811313,0.006098598386531129,0.8503706830502574,0.8520211143452353,1.0032274788987798,1.0051745803924697,2.0075603305846856,0.00019081225551393377,0.0002476725552617286,0.014588019985239953,0.00504973012721166,,nan,nan,nan,nan,nan,nan,nan,nan,21,85,85,85,0,21,42,63,23,23,0,4,True,False,0.09523809523809523,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.00014609623671195987
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,22,0.09411764705882353,1.2491474174403443,0.00011117581982822422,nan,0.0001801787337676637,0.014318235033522362,0.005504611109052881,0.8479819714717511,0.8522879380235467,1.0004093889263876,1.0054893664633415,2.0088433379147674,0.00022563857823211392,0.0002848177214231962,0.015226329967845231,0.0052798601682297885,,nan,nan,nan,nan,nan,nan,nan,nan,22,89,89,89,0,22,44,66,24,24,0,4,True,False,0.09411764705882353,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.00016800729981903732
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,23,0.09302325581395349,1.2491233585529788,8.711693246277186e-05,nan,0.00013132408330402876,0.011686966249061362,0.008577774688638953,0.8444157803550476,0.8541542946798392,0.9962021637778808,1.0076912065788808,2.0108949181605746,0.00017621447714938644,0.00024949056217301246,0.015882099978625774,0.00550851016305387,,nan,nan,nan,nan,nan,nan,nan,nan,23,93,93,93,0,23,46,69,25,25,0,4,True,False,0.09302325581395349,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.00014716863638811388
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,24,0.09195402298850575,1.2491205342408702,8.429262035414276e-05,nan,0.0001229957103474126,0.011109015321375688,0.00933606144978213,0.8462728354764687,0.8554304220202417,0.9983930303784987,1.0091967218088664,2.016321500898376,0.00017173181296999156,0.00025216708310416843,0.0165272299782373,0.005739920132327825,,nan,nan,nan,nan,nan,nan,nan,nan,24,97,97,97,0,24,48,72,26,26,0,4,True,False,0.09195402298850575,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.00014874745336728806
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,25,0.09090909090909091,1.2491161388991905,7.989727867441232e-05,nan,0.000124528138361021,0.011585222669402212,0.007126110010020693,0.8433809395635224,0.8519232017120429,0.9949813071102691,1.0050590676565434,2.0056162126375505,0.0001605663467684438,0.00021799976198037764,0.017158089962322265,0.005964020092505962,,nan,nan,nan,nan,nan,nan,nan,nan,25,101,101,101,0,25,50,75,27,27,0,4,True,False,0.09090909090909091,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.00012859295126898382
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,26,0.0898876404494382,1.2491244628542555,8.822123373941615e-05,nan,0.0001394721084762834,0.01224247401132553,0.007644401026572454,0.8411900307206367,0.8469649502016324,0.9923965755352564,0.9992095548950113,1.9945966838816132,0.00017353047704478922,0.0002356094931584657,0.01786864997120574,0.006200060073751956,,nan,nan,nan,nan,nan,nan,nan,nan,26,105,105,105,0,26,52,78,28,28,0,4,True,False,0.0898876404494382,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.00013898051904737255
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,27,0.08888888888888889,1.2491016538145205,6.541219400446607e-05,nan,9.78676114122598e-05,0.009882901082302603,0.00842114614683105,0.8409354491812113,0.8500983788674807,0.9920962321661088,1.002906227185585,1.994028524385764,0.00012829243682715923,0.00018956970201866336,0.01855852996231988,0.006456920062191784,,nan,nan,nan,nan,nan,nan,nan,nan,27,109,109,109,0,27,54,81,29,29,0,4,True,False,0.08888888888888889,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0001118227250906631
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,28,0.08791208791208792,1.2491348342775488,9.859265703271447e-05,nan,0.00014007797108836224,0.011480057114709017,0.011570089085168864,0.8407294224187153,0.8545987921057987,0.9918531714472428,1.0082156038104768,2.004090165191647,0.0001963205384167258,0.0003053720633573941,0.019218069966882467,0.0066927800653502345,,nan,nan,nan,nan,nan,nan,nan,nan,28,113,113,113,0,28,56,84,30,30,0,4,True,False,0.08791208791208792,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0001801318244822718
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,29,0.08695652173913043,1.2491643524433822,0.00012811082286612319,nan,0.0002005577589658683,0.014619908104354925,0.009546414550775309,0.8400921219792322,0.8505648130886649,0.9911013142560822,1.003456504420111,1.995257269592302,0.000252837448255071,0.0003474188885809454,0.01988818997051567,0.0069297500303946435,,nan,nan,nan,nan,nan,nan,nan,nan,29,117,117,117,0,29,58,87,31,31,0,4,True,False,0.08695652173913043,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0002049342614109612
