job_id,omega,tau,dimension,step_size,predicted_traceless_rate,fitted_traceless_rate,predicted_trace_rate,fitted_trace_rate
M_affine_metric_d2_h0.01,2.0,-0.5,2,0.01,0.25,0.250336473058274,0.5,0.5012876062223697
M_affine_metric_d2_h0.01,2.0,0.0,2,0.01,0.25,0.250336098778793,0.25,0.250336098918569
M_affine_metric_d2_h0.01,2.0,1.0,2,0.01,0.25,0.2503343617644326,0.125,0.1250947405859603
M_affine_metric_d2_h0.01,2.0,4.0,2,0.01,0.25,0.2503324742913206,0.05,0.0500241559458416
M_affine_metric_d2_h0.02,0.25,-0.0625,2,0.02,2.0,2.041110515699228,4.0,4.169262891971786
M_affine_metric_d2_h0.02,0.25,0.0,2,0.02,2.0,2.041124073221228,2.0,2.041124072216115
M_affine_metric_d2_h0.02,0.25,0.125,2,0.02,2.0,2.041149265305088,1.0,1.010157637297276
M_affine_metric_d2_h0.02,0.25,0.5,2,0.02,2.0,2.041190209541364,0.4,0.4016275786600595
M_affine_metric_d2_h0.02,0.5,-0.125,2,0.02,1.0,1.0101533750770153,2.0,2.041187584228134
M_affine_metric_d2_h0.02,0.5,0.0,2,0.02,1.0,1.010167828367368,1.0,1.0101678284557487
M_affine_metric_d2_h0.02,0.5,0.25,2,0.02,1.0,1.0101830165739076,0.5,0.5025419122715379
M_affine_metric_d2_h0.02,0.5,1.0,2,0.02,1.0,1.0101965569694251,0.2,0.200418214015587
M_affine_metric_d2_h0.02,1.0,-0.25,2,0.02,0.5,0.5025409747424661,1.0,1.0101878193322955
M_affine_metric_d2_h0.02,1.0,0.0,2,0.02,0.5,0.5025482918118735,0.5,0.5025482918024968
M_affine_metric_d2_h0.02,1.0,0.5,2,0.02,0.5,0.5025516669198298,0.25,0.2506497157391519
M_affine_metric_d2_h0.02,1.0,2.0,2,0.02,0.5,0.5025527085521484,0.1,0.1001151689159831
M_affine_metric_d2_h0.02,2.0,-0.5,2,0.02,0.25,0.2506506363852644,0.5,0.5025503930608309
M_affine_metric_d2_h0.02,2.0,0.0,2,0.02,0.25,0.2506502433400485,0.25,0.2506502433552545
M_affine_metric_d2_h0.02,2.0,1.0,2,0.02,0.25,0.2506484907387011,0.125,0.1251731011037583
M_affine_metric_d2_h0.02,2.0,4.0,2,0.02,0.25,0.2506465936570161,0.05,0.0500366946863836
M_affine_metric_d2_h0.04,0.25,-0.0625,2,0.04,2.0,2.084551241073114,4.0,4.359068770475151
M_affine_metric_d2_h0.04,0.25,0.0,2,0.04,2.0,2.0845652967749912,2.0,2.0845652975608813
M_affine_metric_d2_h0.04,0.25,0.125,2,0.04,2.0,2.0845916307046366,1.0,1.02057255669978
M_affine_metric_d2_h0.04,0.25,0.5,2,0.04,2.0,2.0846345286247736,0.4,0.4032537769802508
M_affine_metric_d2_h0.04,0.5,-0.125,2,0.04,1.0,1.0205681356544205,2.0,2.084634119272953
M_affine_metric_d2_h0.04,0.5,0.0,2,0.04,1.0,1.0205829313911006,1.0,1.020582931337466
M_affine_metric_d2_h0.04,0.5,0.25,2,0.04,1.0,1.0205984873683036,0.5,0.5050931071404308
M_affine_metric_d2_h0.04,0.5,1.0,2,0.04,1.0,1.020612328650964,0.2,0.2008215836374354
M_affine_metric_d2_h0.04,1.0,-0.25,2,0.04,0.5,0.505092143487189,1.0,1.020603531609254
M_affine_metric_d2_h0.04,1.0,0.0,2,0.04,0.5,0.505099545065932,0.5,0.5050995450681349
