method,rescued,grid_dimension,grid_condition,grid_rho,grid_batch_size,floor
FR--R--STL,True,8,10.0,1.0,64,6.467962560785523e-05
FR--R--STL,True,8,100.0,0.5,1,0.011794835623037049
FR--R--STL,True,8,100.0,0.5,2,0.0058243713227106
FR--R--STL,True,8,100.0,0.5,4,0.0028706206111639
FR--R--STL,True,8,100.0,0.5,8,0.0015067971913196
FR--R--STL,True,8,100.0,0.5,16,0.00072455084908445
FR--R--STL,True,8,100.0,0.5,32,0.00037247284518435
FR--R--STL,True,8,100.0,0.5,64,0.00017972887176925
FR--R--STL,True,8,100.0,1.0,1,0.00818227637948625
FR--R--STL,True,8,100.0,1.0,2,0.00402086982665835
FR--R--STL,True,8,100.0,1.0,4,0.0019688973439330503
FR--R--STL,True,8,100.0,1.0,8,0.0009918588321466502
FR--R--STL,True,8,100.0,1.0,16,0.00048381955822550003
FR--R--STL,True,8,100.0,1.0,32,0.00025820121274004997
FR--R--STL,True,8,100.0,1.0,64,0.00012889672005075002
FR--R--STL,True,32,10.0,0.5,1,0.01468664065704935
FR--R--STL,True,32,10.0,0.5,2,0.0074408752850576
FR--R--STL,True,32,10.0,0.5,4,0.0035826078569138
FR--R--STL,True,32,10.0,0.5,8,0.00182467558988895
FR--R--STL,True,32,10.0,0.5,16,0.0009056947645529
FR--R--STL,True,32,10.0,0.5,32,0.00045691471343715
FR--R--STL,True,32,10.0,0.5,64,0.00022888791633765
FR--R--STL,True,32,10.0,1.0,1,0.01721078064521815
FR--R--STL,True,32,10.0,1.0,2,0.0085559088191864
FR--R--STL,True,32,10.0,1.0,4,0.00430818069829005
FR--R--STL,True,32,10.0,1.0,8,0.0021353642537214
FR--R--STL,True,32,10.0,1.0,16,0.00106956411624985
FR--R--STL,True,32,10.0,1.0,32,0.00053066686757395
FR--R--STL,True,32,10.0,1.0,64,0.00026407190001795
FR--R--STL,True,32,100.0,0.5,1,0.05139275129356055
FR--R--STL,True,32,100.0,0.5,2,0.025480782645193
FR--R--STL,True,32,100.0,0.5,4,0.0124707298939217
FR--R--STL,True,32,100.0,0.5,8,0.00613077829682135
FR--R--STL,True,32,100.0,0.5,16,0.00310124303533845
FR--R--STL,True,32,100.0,0.5,32,0.0015667390068259
FR--R--STL,True,32,100.0,0.5,64,0.0007606559261538501
FR--R--STL,True,32,100.0,1.0,1,0.034673158806632395
FR--R--STL,True,32,100.0,1.0,2,0.017079690542343103
FR--R--STL,True,32,100.0,1.0,4,0.0083925386485912
FR--R--STL,True,32,100.0,1.0,8,0.004237999052842
FR--R--STL,True,32,100.0,1.0,16,0.0021259280788319002
FR--R--STL,True,32,100.0,1.0,32,0.0010658556569884
FR--R--STL,True,32,100.0,1.0,64,0.0005369283967463999
S--FB--GVI,False,8,10.0,0.5,1,0.0270608615034808
S--FB--GVI,False,8,10.0,0.5,2,0.01281299710739555
S--FB--GVI,False,8,10.0,0.5,4,0.00676528703089625
S--FB--GVI,False,8,10.0,0.5,8,0.0031964066169161004
S--FB--GVI,False,8,10.0,0.5,16,0.00172721009114935
S--FB--GVI,False,8,10.0,0.5,32,0.0008243801923366
S--FB--GVI,False,8,10.0,0.5,64,0.0004309284518737
S--FB--GVI,False,8,10.0,1.0,1,0.042843692528142296
S--FB--GVI,False,8,10.0,1.0,2,0.0208301312394807
S--FB--GVI,False,8,10.0,1.0,4,0.01063743426911885
