tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,source_file
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,22,0.02,0.8647635048707998,0.30846192562987973,nan,1.1136574582582255,0.3161935323143489,0.7433598161441269,0.7531027392778799,1.1618955323044498,0.2933271118217864,0.7693547195980543,0.32072951565280505,0.5245521326805817,0.03447368898196146,,nan,nan,nan,nan,nan,nan,nan,22,22,22,22,22,0,22,22,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,23,0.02,0.8545464669508024,0.29824488770988233,nan,1.085519099615456,0.31149257706284367,0.734820219205683,0.7599912495328457,1.1884484388884788,0.3000184920904812,0.7764230710958658,0.31236770871723263,0.4999693156509092,0.03600281901890412,,nan,nan,nan,nan,nan,nan,nan,23,23,23,23,23,0,23,23,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,24,0.02,0.8448030059363565,0.28850142669543644,nan,1.058378548972844,0.3069278706993125,0.7264616506976009,0.7666071623916949,1.2147207251078553,0.3066386313540333,0.7832131406111638,0.30429713644512807,0.4769437126183245,0.03751726902555674,,nan,nan,nan,nan,nan,nan,nan,24,24,24,24,24,0,24,24,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,25,0.02,0.8355035173679736,0.2792019381270535,nan,1.0321861965702228,0.3024948449920316,0.7182762378117525,0.7729622588026743,1.2407157146399472,0.3131883898395098,0.7897369125268059,0.2965053607881063,0.45534837711409043,0.03903313900809735,,nan,nan,nan,nan,nan,nan,nan,25,25,25,25,25,0,25,25,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,26,0.02,0.826620774630829,0.2703191953899089,nan,1.0068957495087165,0.2981890876207781,0.7102565792756306,0.7790677872109706,1.266436700137921,0.3196686196576165,0.7960058301672636,0.28898051863721164,0.4350691216345818,0.04055154899833724,,nan,nan,nan,nan,nan,nan,nan,26,26,26,26,26,0,26,26,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,27,0.02,0.8181296937321739,0.26182811449125387,nan,0.9824639478227095,0.29400633571746465,0.7023957151580476,0.7849344884663636,1.291886941505017,0.3260801643503228,0.8020308211102116,0.2817112987243792,0.41600298968226346,0.04207193898037076,,nan,nan,nan,nan,nan,nan,nan,27,27,27,27,27,0,27,27,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,28,0.02,0.8100071257859223,0.2537055465450022,nan,0.9588503103757651,0.28994246981908045,0.6946870985179348,0.7905726195655216,1.317069664519248,0.3324238585292652,0.807822321310949,0.2746869184878259,0.3980569401367322,0.043589418986812234,,nan,nan,nan,nan,nan,nan,nan,28,28,28,28,28,0,28,28,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,29,0.02,0.8022316734186614,0.24593009417774137,nan,0.9360169068651212,0.2859935081989786,0.6871245688063283,0.7959919762743132,1.3419880597526563,0.33870052759054964,0.8133902980864466,0.2678971011282729,0.3811467104218402,0.045115029031876475,,nan,nan,nan,nan,nan,nan,nan,29,29,29,29,29,0,29,29,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,30,0.02,0.7947835278991432,0.23848194865822314,nan,0.9139281527540419,0.28215560154535746,0.6797023269319117,0.8012019146761529,1.3666452817385544,0.34491098749395305,0.818744272006351,0.2613320530314215,0.3651958308535639,0.04662252898560837,,nan,nan,nan,nan,nan,nan,nan,30,30,30,30,30,0,30,30,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
smoke,D,D_logcosh_global_smoke,FB--GVI,4139269695,31,0.02,0.7876443242791318,0.23134274503821173,nan,0.89255062439864,0.2784250279583603,0.6724149119017109,0.8062113716923702,1.39104444834777,0.3510560445964738,0.8238933377381423,0.25498244169034073,0.350134767320692,0.04815091902855784,,nan,nan,nan,nan,nan,nan,nan,31,31,31,31,31,0,31,31,0,0,0,1,False,False,0.04,results/raw/smoke/D/D_logcosh_global_smoke/fb-gvi_seed0.csv
