tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,23,0.1,14.437898697442657,7.832728511454565,7.832728511454565,1.1989221989067584,0.7733143090423128,1.9476557261632195,0.0008294530399237077,0.0008947185570557546,0.0008947185570557575,0.08294530399237063,1.9351404156708183,4380.647163114652,0.009991860017180443,,nan,nan,nan,nan,nan,nan,nan,23,23,23,23,23,0,0,0,46,46,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,24,0.1,14.2537282370941,7.6485580511060105,7.6485580511060105,1.1940293727287916,0.7683446317768422,1.942921370347009,0.0009048926840402596,0.0009841023632966813,0.000984102363296684,0.09048926840402582,1.9287890989296663,3975.9066183156347,0.010375450015999377,,nan,nan,nan,nan,nan,nan,nan,24,24,24,24,24,0,0,0,48,48,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,25,0.1,14.070186066199792,7.465015880211701,7.465015880211701,1.188916908655514,0.7629714439271332,1.9378066805990208,0.0009864555879971924,0.0010824060797882324,0.0010824060797882367,0.09864555879971913,1.9218412351001886,3607.9794795125185,0.010774000023957342,,nan,nan,nan,nan,nan,nan,nan,25,25,25,25,25,0,0,0,50,50,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,26,0.1,13.88733062040701,7.28216043441892,7.28216043441892,1.1835762638892566,0.7571710574475764,1.9322897053490173,0.0010745016650786214,0.0011905178253938259,0.0011905178253938293,0.10745016650786196,1.9142476870581375,3273.522209091702,0.01115114998538047,,nan,nan,nan,nan,nan,nan,nan,26,26,26,26,26,0,0,0,52,52,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,27,0.1,13.705225055178154,7.100054869190064,7.100054869190064,1.1779987159950842,0.7509200734452469,1.9263487187568842,0.0011693867514707208,0.0013094137198957734,0.0013094137198957744,0.11693867514707199,1.9059570453693835,2969.4956810885783,0.011529160023201257,,nan,nan,nan,nan,nan,nan,nan,27,27,27,27,27,0,0,0,54,54,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,28,0.1,13.523937448831884,6.918767262843794,6.918767262843794,1.172175376260691,0.7441957462901275,1.9199625096072328,0.0012714571748643068,0.001440166514506048,0.0014401665145060468,0.1271457174864305,1.8969159764415335,2693.1375529284364,0.011923860001843423,,nan,nan,nan,nan,nan,nan,nan,28,28,28,28,28,0,0,0,56,56,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,29,0.1,13.343540969615091,6.7383707836269995,6.7383707836269995,1.1660972048272844,0.7369764016653081,1.9131107019884226,0.0013810435154851042,0.001583955050054296,0.0015839550500542949,0.1381043515485102,1.8870696983004138,2441.9371478034595,0.012307939992751926,,nan,nan,nan,nan,nan,nan,nan,29,29,29,29,29,0,0,0,58,58,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,30,0.1,13.164113994549986,6.558943808561896,6.558943808561896,1.1597550275348532,0.7292419074632324,1.9057741029577222,0.0014984535711566004,0.0017420746182708073,0.0017420746182708101,0.14984535711565983,1.8763626000367175,2213.6126175995287,0.012715090007986873,,nan,nan,nan,nan,nan,nan,nan,30,30,30,30,30,0,0,0,60,60,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,31,0.1,12.985740166375788,6.380569980387696,6.380569980387696,1.1531395543851461,0.7209741938775504,1.8979350699432644,0.0016239645731318474,0.0019159483076062285,0.0019159483076062402,0.16239645731318456,1.8647390180219106,2006.0901767933296,0.01309828000376001,,nan,nan,nan,nan,nan,nan,nan,31,31,31,31,31,0,0,0,62,62,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,32,0.1,12.80850837379184,6.203338187803748,6.203338187803748,1.146241399487855,0.7121578159320218,1.8895778879534768,0.0017578147417772806,0.00210713942134603,0.002107139421346034,0.17578147417772783,1.8521441770125788,1817.4852163922724,0.013473219994921237,,nan,nan,nan,nan,nan,nan,nan,32,32,32,32,32,0,0,0,64,64,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,33,0.1,12.63251263960208,6.02734245361399,6.02734245361399,1.1390511023239784,0.7027805480684632,1.8806891439013176,0.0019001943200743264,0.002317365062352979,0.0023173650623529883,0.19001943200743254,1.8385252969223151,1646.0851239915085,0.013866449997294694,,nan,nan,nan,nan,nan,nan,nan,33,33,33,33,33,0,0,0,66,66,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,34,0.1,12.457851901481575,5.8526817154934845,5.8526817154934845,1.1315591501404143,0.6928339963858469,1.8712580827111776,0.0020512362768576073,0.002548510985556384,0.002548510985556392,0.20512362768576042,1.8238328561548087,1490.3336515689978,0.014245590020436794,,nan,nan,nan,nan,nan,nan,nan,34,34,34,34,34,0,0,0,68,68,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,35,0.1,12.284629671169442,5.6794594851813525,5.6794594851813525,1.1237560012871395,0.6823142098575485,1.8612769276289047,0.002211006928345314,0.0028026478262346416,0.0028026478262346464,0.2211006928345311,1.8080219900096135,1348.8166869166246,0.014633550017606467,,nan,nan,nan,nan,nan,nan,nan,35,35,35,35,35,0,0,0,70,70,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,36,0.1,12.112953560164339,5.507783374176248,5.507783374176248,1.1156321093287584,0.6712222676128279,1.850741145619112,0.002379496782459903,0.0030820488191157813,0.003082048819115783,0.23794967824599,1.7910539881744671,1220.2492977854076,0.015015950019005686,,nan,nan,nan,nan,nan,nan,nan,36,36,36,36,36,0,0,0,72,72,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,37,0.1,11.942934663642324,5.337764477654234,5.337764477654234,1.107177947811017,0.659564815498628,1.8396496382563339,0.0025566119613456896,0.0033892091302276054,0.003389209130227606,0.2556611961345685,1.7728978395064416,1103.4639300618232,0.015399319992866367,,nan,nan,nan,nan,nan,nan,nan,37,37,37,37,37,0,0,0,74,74,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,38,0.1,11.774686799433997,5.169516613445907,5.169516613445907,1.0983840356437304,0.6473545220653846,1.828004839438172,0.002742166598229888,0.0037268669301077,0.0037268669301076967,0.2742166598229883,1.7535317564527848,997.3996527226994,0.015791940037161112,,nan,nan,nan,nan,nan,nan,nan,38,38,38,38,38,0,0,0,76,76,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,39,0.1,11.608325605464511,5.00315541947642,5.00315541947642,1.0892409631756845,0.6346104223310799,1.815812703853489,0.0029358766297467235,0.004098026343232739,0.004098026343232752,0.29358766297467187,1.732944597308603,901.0923530400361,0.016170930000953376,,nan,nan,nan,nan,nan,nan,nan,39,39,39,39,39,0,0,0,78,78,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,40,0.1,11.443967506885373,4.8387973208972825,4.8387973208972825,1.0797394191818646,0.6213581176775611,1.8030825745960626,0.0031373554084914023,0.004505982414092503,0.004505982414092501,0.31373554084913957,1.7111370941526045,813.6657955885279,0.01654839003458619,,nan,nan,nan,nan,nan,nan,nan,40,40,40,40,40,0,0,0,80,80,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,41,0.1,11.281728572821615,4.6765583868335225,4.6765583868335225,1.069870219151951,0.6076298024946027,1.7898269246162943,0.003346111538028063,0.004954348234899778,0.004954348234899782,0.3346111538028058,1.6881227899986764,734.3234680675339,0.01697619998594746,,nan,nan,nan,nan,nan,nan,nan,41,41,41,41,41,0,0,0,82,82,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,42,0.1,11.121723291625411,4.516553105637319,4.516553105637319,1.0596243354495833,0.5934640930790093,1.776060974612598,0.00356154928042598,0.0054470843830998796,0.0054470843830998926,0.35615492804259763,1.6639285925410552,662.3411457596376,0.017355160031002015,,nan,nan,nan,nan,nan,nan,nan,42,42,42,42,42,0,0,0,84,84,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,43,0.1,10.964063301983826,4.358893115995736,4.358893115995736,1.0489929300881589,0.5789056420042024,1.7618021989790307,0.0037829718034249797,0.005988530818140147,0.005988530818140167,0.3782971803424974,1.638594865382368,597.060114540308,0.01775748998625204,,nan,nan,nan,nan,nan,nan,nan,43,43,43,43,43,0,0,0,86,86,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,44,0.1,10.808856124262928,4.203685938274836,4.203685938274836,1.037967391021219,0.5640045316250909,1.7470697407851337,0.004009587422153727,0.006583441385791338,0.00658344138579136,0.4009587422153721,1.6121750013575504,537.8809996247755,0.018139809020794928,,nan,nan,nan,nan,nan,nan,nan,44,44,44,44,44,0,0,0,88,88,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,45,0.1,10.656203941141436,4.051033755153346,4.051033755153346,1.0265393729529844,0.5488154531728847,1.7318837654938009,0.0042405188537741135,0.007237021073965653,0.0072370210739656675,0.4240518853774111,1.5847344556956113,484.25815357040165,0.0185185790178366,,nan,nan,nan,nan,nan,nan,nan,45,45,45,45,45,0,0,0,90,90,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,46,0.1,10.506202478051154,3.9010322920630642,3.9010322920630642,1.0147008437180864,0.533396692263715,1.7162647901346813,0.004474815350540286,0.007954966155591148,0.007954966155591159,0.4474815350540281,1.5563492569428463,435.6945623344018,0.018905789009295404,,nan,nan,nan,nan,nan,nan,nan,46,46,46,46,46,0,0,0,92,92,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,47,0.1,10.358940031598102,3.7537698456100115,3.7537698456100115,1.00244413724486,0.5178089564812822,1.7002330288827603,0.004711467418323474,0.008743507340652656,0.008743507340652677,0.47114674183234684,1.527104056964643,391.7372323412613,0.019281818997114897,,nan,nan,nan,nan,nan,nan,nan,47,47,47,47,47,0,0,0,94,94,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,48,0.1,10.214496687762917,3.6093265017748273,3.6093265017748273,0.9897620139975678,0.5021140946000372,1.6838077965791363,0.004949423676254316,0.00960945603977558,0.00960945603977557,0.4949423676254305,1.4970898229849006,351.9730245254779,0.01966791902668774,,nan,nan,nan,nan,nan,nan,nan,48,48,48,48,48,0,0,0,96,96,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,49,0.1,10.072943761518074,3.4677735755299834,3.4677735755299834,0.9766477295940881,0.48637376843578356,1.667007008172643,0.005187609281852186,0.010560253814273427,0.010560253814273423,0.5187609281852177,1.4664013090862356,316.024903247373,0.02005292900139466,,nan,nan,nan,nan,nan,nan,nan,49,49,49,49,49,0,0,0,98,98,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,50,0.1,9.934343476300445,3.3291732903123545,3.3291732903123545,0.9630951120325287,0.47064814571228525,1.6498468043547314,0.005424945246875105,0.011604025050720489,0.0116040250507205,0.5424945246875105,1.4351344668598085,283.54856898491613,0.02043019898701459,,nan,nan,nan,nan,nan,nan,nan,50,50,50,50,50,0,0,0,100,100,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,51,0.1,9.79874888673713,3.1935787007490393,3.1935787007490393,0.9490986476588018,0.454994684424104,1.632341322371313,0.005660367911587318,0.012749632849894768,0.012749632849894742,0.5660367911587314,1.403383961261127,254.22944401675178,0.02081621903926134,,nan,nan,nan,nan,nan,nan,nan,51,51,51,51,51,0,0,0,102,102,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,52,0.1,9.666204032649304,3.0610338466612133,3.0610338466612133,0.934653575700231,0.4394670751328234,1.614502617237847,0.005892847834824952,0.014006738058117685,0.014006738058117708,0.5892847834824946,1.3712409465879614,227.7799802247498,0.02119166898773983,,nan,nan,nan,nan,nan,nan,nan,52,52,52,52,52,0,0,0,104,104,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,53,0.1,9.53674429827209,2.9315741122839993,2.9315741122839993,0.9197559909125788,0.4241143972908017,1.596340723905766,0.0061214073951609,0.015385861291039245,0.015385861291039244,0.612140739516089,1.3387912297658773,203.93725797758157,0.021564869035501033,,nan,nan,nan,nan,nan,nan,nan,53,53,53,53,53,0,0,0,106,106,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,54,0.1,9.410396939320442,2.805226753332353,2.805226753332353,0.9044029536704671,0.4089805296562946,1.5778638371150544,0.006345136480902002,0.016898447702904093,0.016898447702904117,0.6345136480901992,1.3061139072331176,182.4608451133533,0.021951648988761008,,nan,nan,nan,nan,nan,nan,nan,54,54,54,54,54,0,0,0,108,108,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,55,0.1,9.287181733140484,2.6820115471523946,2.6820115471523946,0.8885926066951765,0.39410383454468345,1.559078574493611,0.00656320576563992,0.018556934135093694,0.018556934135093718,0.6563205765639911,1.273280513101017,163.1308855661583,0.022325689031276852,,nan,nan,nan,nan,nan,nan,nan,55,55,55,55,55,0,0,0,110,110,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,56,0.1,9.167111704324409,2.561941518336319,2.561941518336319,0.8723242975661304,0.3795171131148107,1.5399902814301734,0.006774877210508776,0.020374818132792592,0.02037481813279257,0.6774877210508765,1.2403546664994116,145.7463883374267,0.022714149032253772,,nan,nan,nan,nan,nan,nan,nan,56,56,56,56,56,0,0,0,112,112,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,57,0.1,9.050193879834195,2.445023693846105,2.445023693846105,0.8555987061931071,0.36524780659517087,1.5206033343522838,0.006979511591352308,0.02236672814425537,0.02236672814425538,0.6979511591352296,1.2073921616984131,130.1236893516259,0.023089858994353563,,nan,nan,nan,nan,nan,nan,nan,57,57,57,57,57,0,0,0,114,114,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,58,0.1,8.936430033277846,2.331259847289753,2.331259847289753,0.838417976509349,0.35131839886553995,1.5009214026175266,0.007176573005693311,0.024548494009494784,0.024548494009494843,0.7176573005693302,1.1744414112684274,116.09506120540476,0.023463118996005505,,nan,nan,nan,nan,nan,nan,nan,58,58,58,58,58,0,0,0,116,116,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,59,0.1,8.82581738643531,2.2206472004472184,2.2206472004472184,0.8207858517427034,0.3377469613788965,1.4809476378754134,0.007365630459040059,0.026937216600409514,0.026937216600409545,0.7365630459040041,1.1415441338095027,103.507448779191,0.02385690901428461,,nan,nan,nan,nan,nan,nan,nan,59,59,59,59,59,0,0,0,118,118,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,60,0.1,8.718349246073315,2.1131790600852227,2.1131790600852227,0.8027078126878595,0.32454777364823295,1.460684772381127,0.00754635675337001,0.02955133518876935,0.029551335188769377,0.7546356753370004,1.1087361748379458,92.22131193017469,0.024234529002569616,,nan,nan,nan,nan,nan,nan,nan,60,60,60,60,60,0,0,0,120,120,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,61,0.1,8.614015564090217,2.0088453781021265,2.0088453781021265,0.7841912183942972,0.3117319521640572,1.4401351226782486,0.007718524996381992,0.03241069078892595,0.03241069078892597,0.7718524996381977,1.076048360981059,82.10955980033559,0.024622078984975815,,nan,nan,nan,nan,nan,nan,nan,61,61,61,61,61,0,0,0,122,122,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,62,0.1,8.51280341782582,1.9076332318377296,1.9076332318377296,0.765245448568272,0.29930802740737417,1.4193005103027436,0.00788200311534655,0.035536583346365155,0.03553658334636523,0.7882003115346545,1.0435073103217813,73.0565644370067,0.025013009028043598,,nan,nan,nan,nan,nan,nan,nan,62,62,62,62,62,0,0,0,124,124,0,1,False,False,0.1
